timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260919154804,0.5,0.5,0,0,0,./datasets/covid,alex,2715630,75000000,1543933464,1,0,272,448,768,1808,7344,19776,278.418,48,480,672,1296,3280,129248,688880,551.664,1866,100,44500.8,7.80881e+06,1,0,0,64,200000000
20260919154824,0.5,0.5,0,0,0,./datasets/covid,alex,2532351,100000000,2067429480,1,0,272,448,800,1856,7600,11888,284.515,80,496,704,1472,3568,171280,1.07019e+06,593.858,1866,100,46382.8,2.73236e+07,1,0,0,64,200000000
20260919154845,0.5,0.5,0,0,0,./datasets/covid,alex,2373519,125000000,2733487280,1,0,288,464,832,1920,7360,33616,292.461,96,496,720,1536,3680,233520,2.38314e+06,631.488,1866,100,55678.9,5.51539e+07,1,0,0,64,200000000
20260919154909,0.5,0.5,0,0,0,./datasets/covid,alex,2128431,150000000,3643315784,1,0,288,528,1008,3296,7984,17664,325.236,64,512,784,2032,4496,457008,1.81003e+06,711.478,1866,100,75951.7,1.03154e+08,1,0,0,64,200000000
20260919154930,0.5,0.5,0,0,0,./datasets/covid,alex,2436986,175000000,3650162168,1,0,288,496,896,1808,8448,60192,317.134,64,528,768,1808,4400,9456,86576,591.096,1866,100,80482.5,158563,1,0,0,64,200000000
20260919154956,0.5,0.5,0,0,0,./datasets/covid,alex,1931226,200000000,4858304808,1,0,336,576,960,1504,7760,30960,349.362,96,576,832,1840,5104,542544,3.6503e+06,786.762,1866,100,67760.9,2.08818e+08,1,0,0,64,200000000
20260919155127,0.5,0.5,0,0,0,./datasets/covid,lipp,2339666,75000000,6583461550,1,0,64,640,2432,4208,8448,228784,246.502,0,224,944,3408,5552,9808,7.22027e+06,428.823,1866,100,474435,2.07009e+08,1,0,0,64,200000000
20260919155201,0.5,0.5,0,0,0,./datasets/covid,lipp,1909854,100000000,8980646262,1,0,64,848,2496,5136,9120,57072,275.068,0,288,1104,3792,6608,9840,114448,538.355,1866,100,339925,625113,1,0,0,64,200000000
20260919155244,0.5,0.5,0,0,0,./datasets/covid,lipp,1611217,125000000,11516971038,1,0,48,1408,3472,5696,9952,2.55203e+06,364.139,0,352,1264,4080,6960,10032,187824,661.265,1866,100,2.62988e+07,991238,1,0,0,64,200000000
20260919155333,0.5,0.5,0,0,0,./datasets/covid,lipp,1587370,150000000,14114907482,1,0,32,1392,2496,5184,9584,117632,330.391,0,432,1280,4048,7008,9856,207424,699.199,1866,100,463569,805679,1,0,0,64,200000000
20260919155432,0.5,0.5,0,0,0,./datasets/covid,lipp,1331894,175000000,16732661640,1,0,32,1664,3856,6128,10144,5.34251e+06,504.236,0,672,1584,4320,7344,11744,7.03715e+06,877.993,1866,100,1.13942e+08,2.85464e+08,1,0,0,64,200000000
20260919155539,0.5,0.5,0,0,0,./datasets/covid,lipp,1260999,200000000,19349725634,1,0,32,1664,4448,6464,10496,5.96411e+06,543.783,0,784,1616,4640,7632,10608,104704,897.565,1866,100,1.41968e+08,936511,1,0,0,64,200000000
20260919155712,0.5,0.5,0,0,0,./datasets/covid,artunsync,1636087,75000000,3389354048,1,16,624,848,1984,4768,7792,29344,659.091,32,480,704,3616,5424,10384,40032,565.64,1866,100,106149,259634,1,0,0,64,200000000
20260919155748,0.5,0.5,0,0,0,./datasets/covid,artunsync,1484861,100000000,4642609352,1,16,656,928,2032,3648,7856,1.73997e+06,699.338,32,528,752,3696,18448,28960,153696,638.15,1866,100,1.21313e+07,1.07147e+06,1,0,0,64,200000000
20260919155827,0.5,0.5,0,0,0,./datasets/covid,artunsync,1406188,125000000,5742926368,1,16,704,960,2000,3872,8224,8.91104e+06,695.828,32,576,768,3728,25440,28608,58848,655.197,1866,100,3.14066e+08,1.11353e+06,1,0,0,64,200000000
20260919155908,0.5,0.5,0,0,0,./datasets/covid,artunsync,1338346,150000000,6672580572,1,16,736,1008,2272,3936,8032,26944,633.005,32,592,800,3552,19744,29216,101248,660.272,1866,100,227691,1.03207e+06,1,0,0,64,200000000
20260919155951,0.5,0.5,0,0,0,./datasets/covid,artunsync,1318978,175000000,7516803628,1,16,720,1040,2272,4096,7920,185632,586.84,32,608,816,2544,7248,29728,129424,639.235,1866,100,395916,772445,1,0,0,64,200000000
20260919160035,0.5,0.5,0,0,0,./datasets/covid,artunsync,1282571,200000000,8406155724,1,16,736,1088,2352,3984,8624,56016,596.112,48,608,848,2448,5744,30416,287568,647.348,1866,100,315323,974782,1,0,0,64,200000000
20260919160221,0.5,0.5,0,0,0,./datasets/covid,btree,1020203,75000000,0,1,160,880,1200,2144,3712,9216,49808,920.028,176,992,1344,4272,7808,12656,25040,1077.09,1866,100,130605,346697,1,0,0,64,200000000
20260919160314,0.5,0.5,0,0,0,./datasets/covid,btree,946183,100000000,0,1,144,944,1280,1920,5696,9056,92800,994.879,192,1104,1456,2864,7376,12656,303296,1162.17,1866,100,187476,901897,1,0,0,64,200000000
20260919160410,0.5,0.5,0,0,0,./datasets/covid,btree,899205,125000000,0,1,144,1008,1344,2448,5872,10032,69568,1049.49,208,1136,1504,3152,7472,12336,181776,1215.71,1866,100,168742,493767,1,0,0,64,200000000
20260919160509,0.5,0.5,0,0,0,./datasets/covid,btree,853050,150000000,0,1,144,1072,1408,2480,6032,10096,45376,1108.4,192,1200,1584,3248,7952,13792,238800,1274.9,1866,100,157972,579152,1,0,0,64,200000000
20260919160610,0.5,0.5,0,0,0,./datasets/covid,btree,822984,175000000,0,1,192,1104,1456,2416,5728,10416,70880,1150.84,176,1248,1632,3280,8016,12352,92496,1318.53,1866,100,162499,381515,1,0,0,64,200000000
20260919160715,0.5,0.5,0,0,0,./datasets/covid,btree,778527,200000000,0,1,192,1184,1552,2656,6032,10160,1.43231e+07,1280.79,176,1312,1712,3344,8032,12896,241696,1384.65,1866,100,8.13241e+08,566072,1,0,0,64,200000000
