timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260919220143,0.8,0.2,0,0,0,./datasets/covid,alex,3257726,60000000,1537196752,1,0,272,448,768,3232,7040,56192,273.728,80,496,704,1360,5728,235792,571968,632.965,1866,100,61889.5,2.2085e+07,1,0,0,64,200000000
20260919220157,0.8,0.2,0,0,0,./datasets/covid,alex,3706016,70000000,1538084560,1,0,272,432,784,2320,7104,346336,251.582,48,496,688,1392,3296,7952,29088,543.689,1866,100,351260,68774.9,1,0,0,64,200000000
20260919220214,0.8,0.2,0,0,0,./datasets/covid,alex,3102556,80000000,2049102144,1,0,272,448,864,3152,7776,37536,284.583,96,512,736,1760,6368,316640,928464,717.42,1866,100,71908.2,6.76514e+07,1,0,0,64,200000000
20260919220228,0.8,0.2,0,0,0,./datasets/covid,alex,3638746,90000000,2049819576,1,0,272,432,816,3248,7840,42496,253.069,64,512,704,1488,3408,7952,16384,553.626,1866,100,69016.7,69136.1,1,0,0,64,200000000
20260919220242,0.8,0.2,0,0,0,./datasets/covid,alex,3524798,100000000,2067322968,1,0,272,448,800,1264,7296,11472,278.73,96,512,752,1568,3040,8672,170192,578.698,1866,100,41874.1,455122,1,0,0,64,200000000
20260919220259,0.8,0.2,0,0,0,./datasets/covid,alex,3042317,110000000,2732232488,1,0,272,448,800,1360,7792,64400,268.527,48,512,736,1472,6528,747408,2.14874e+06,807.931,1866,100,62848.2,1.8505e+08,1,0,0,64,200000000
20260919220313,0.8,0.2,0,0,0,./datasets/covid,alex,3469512,120000000,2732902336,1,0,272,448,864,3264,7744,15008,266.228,112,512,720,1712,3456,7920,68208,573.904,1866,100,63120.3,129007,1,0,0,64,200000000
20260919220329,0.8,0.2,0,0,0,./datasets/covid,alex,3291180,130000000,2734960176,1,0,272,464,1040,3280,7888,5.84912e+06,312.321,96,528,768,2032,3952,9536,84112,602.276,1866,100,8.48763e+07,191624,1,0,0,64,200000000
20260919220348,0.8,0.2,0,0,0,./datasets/covid,alex,2668791,140000000,3640719816,1,0,288,512,912,1440,7568,49568,315.213,64,544,800,1920,7456,654784,1.82581e+06,875.623,1866,100,59753.5,1.68048e+08,1,0,0,64,200000000
20260919220403,0.8,0.2,0,0,0,./datasets/covid,alex,3324853,150000000,3643354688,1,0,272,448,944,3312,8096,106832,266.487,80,512,736,1872,3648,9696,49584,582.48,1866,100,130436,123339,1,0,0,64,200000000
20260919220419,0.8,0.2,0,0,0,./datasets/covid,alex,3208517,160000000,3644329080,1,0,272,464,1024,3296,7952,57632,287.428,96,528,768,2032,3856,8784,60928,601.295,1866,100,84754.4,150935,1,0,0,64,200000000
20260919220435,0.8,0.2,0,0,0,./datasets/covid,alex,3170291,170000000,3645665184,1,0,288,480,1008,3168,7392,61104,303.689,176,528,784,2080,4784,9200,17472,614.116,1866,100,84148.9,121550,1,0,0,64,200000000
20260919220454,0.8,0.2,0,0,0,./datasets/covid,alex,2776429,180000000,4062484136,1,0,304,560,976,1568,8016,28432,337.971,96,560,832,2336,5776,398784,2.65797e+06,796.269,1866,100,61230.1,1.5343e+08,1,0,0,64,200000000
20260919220515,0.8,0.2,0,0,0,./datasets/covid,alex,2416266,190000000,4856734472,1,0,288,576,1712,3520,8224,18032,338.914,96,592,832,2256,5872,746544,3.69718e+06,927.568,1866,100,115799,4.02753e+08,1,0,0,64,200000000
20260919220532,0.8,0.2,0,0,0,./datasets/covid,alex,2908960,200000000,4858354448,1,0,288,528,1440,3456,7776,6.11022e+06,321.942,64,560,816,2176,4144,9216,26304,633.971,1866,100,9.24909e+07,132241,1,0,0,64,200000000
20260919220717,0.8,0.2,0,0,0,./datasets/covid,lipp,2811534,60000000,5264107224,1,0,48,528,1536,3072,8880,16928,185.886,0,208,800,3088,4848,9312,663728,350.52,1866,100,132562,4.64692e+06,1,0,0,64,200000000
20260919220741,0.8,0.2,0,0,0,./datasets/covid,lipp,2541999,70000000,6130909884,1,0,64,560,1664,3888,8544,218848,206.387,0,256,928,3680,5184,9552,36688,411.809,1866,100,292776,362253,1,0,0,64,200000000
20260919220807,0.8,0.2,0,0,0,./datasets/covid,lipp,2313981,80000000,7045944334,1,0,64,624,1920,4192,8864,1.21886e+07,255.807,0,288,1024,3792,7072,9584,54640,479.951,1866,100,3.67501e+08,501967,1,0,0,64,200000000
20260919220836,0.8,0.2,0,0,0,./datasets/covid,lipp,2245020,90000000,7998847570,1,0,64,704,1744,2608,8880,70736,226.131,0,288,1056,3808,7088,10544,75664,515.747,1866,100,233418,568438,1,0,0,64,200000000
20260919220910,0.8,0.2,0,0,0,./datasets/covid,lipp,1960416,100000000,8980592022,1,0,48,912,2640,5248,9168,35456,286.86,0,304,1152,4144,7120,10256,87408,589.711,1866,100,365877,679036,1,0,0,64,200000000
20260919220945,0.8,0.2,0,0,0,./datasets/covid,lipp,1932635,110000000,9983282832,1,0,48,928,2480,5152,9120,86480,285.584,0,320,1152,3968,7264,11296,44624,605.302,1866,100,357938,601294,1,0,0,64,200000000
20260919221025,0.8,0.2,0,0,0,./datasets/covid,lipp,1732865,120000000,11003087492,1,0,48,1360,3568,5792,9664,6.06696e+06,368.001,0,336,1280,4112,7248,9744,78192,675.169,1866,100,9.19394e+07,717620,1,0,0,64,200000000
20260919221106,0.8,0.2,0,0,0,./datasets/covid,lipp,1822602,130000000,12033508728,1,0,32,1200,2464,5216,9616,71792,309.184,0,384,1232,4000,7376,10880,89024,667.387,1866,100,388393,731158,1,0,0,64,200000000
20260919221151,0.8,0.2,0,0,0,./datasets/covid,lipp,1621246,140000000,13071526954,1,0,32,1520,3152,5728,9184,33264,393.006,0,448,1344,4176,7360,10592,152592,733.804,1866,100,562584,981550,1,0,0,64,200000000
20260919221240,0.8,0.2,0,0,0,./datasets/covid,lipp,1544902,150000000,14114728264,1,0,32,1552,3904,6144,9984,39392,422.782,0,480,1408,4352,7776,11264,80320,774.749,1866,100,682308,802021,1,0,0,64,200000000
20260919221331,0.8,0.2,0,0,0,./datasets/covid,lipp,1603486,160000000,15160370148,1,0,32,1472,3264,5920,9744,6.63216e+06,408.429,0,560,1360,4256,7472,11776,88720,771.621,1866,100,1.09249e+08,770111,1,0,0,64,200000000
20260919221425,0.8,0.2,0,0,0,./datasets/covid,lipp,1548667,170000000,16208397236,1,0,32,1568,3008,5504,9648,30064,423.18,0,640,1456,4224,7744,10624,23040,805.055,1866,100,552370,691411,1,0,0,64,200000000
20260919221523,0.8,0.2,0,0,0,./datasets/covid,lipp,1404781,180000000,17256114930,1,0,32,1696,3840,6288,9872,48688,515.382,0,752,1632,4400,7840,11520,331664,876.309,1866,100,801006,2.0493e+06,1,0,0,64,200000000
20260919221624,0.8,0.2,0,0,0,./datasets/covid,lipp,1357291,190000000,18303273910,1,0,32,1728,4080,6384,9936,5.63237e+06,561.153,0,784,1664,4464,7760,10704,2.95835e+06,932.8,1866,100,7.93436e+07,8.80905e+07,1,0,0,64,200000000
20260919221729,0.8,0.2,0,0,0,./datasets/covid,lipp,1321495,200000000,19349380824,1,0,32,1744,4368,6560,10896,5.76181e+06,595.947,0,816,1712,4592,7904,13312,185168,934.729,1866,100,1.23696e+08,1.27048e+06,1,0,0,64,200000000
20260919221920,0.8,0.2,0,0,0,./datasets/covid,artunsync,1709460,60000000,2622781440,1,16,592,768,1040,3408,7776,190112,550.311,32,480,656,3648,5744,9776,195872,546.274,1866,100,172917,618955,1,0,0,64,200000000
20260919221953,0.8,0.2,0,0,0,./datasets/covid,artunsync,1606594,70000000,3131804624,1,16,608,784,1136,4416,7728,49056,570.379,32,480,688,3600,5328,13360,126032,566.923,1866,100,123970,451030,1,0,0,64,200000000
20260919222027,0.8,0.2,0,0,0,./datasets/covid,artunsync,1567863,80000000,3646803568,1,16,608,800,1120,3392,7840,64624,555.881,32,496,720,3696,7216,27552,236128,594.835,1866,100,117812,1.04468e+06,1,0,0,64,200000000
20260919222103,0.8,0.2,0,0,0,./datasets/covid,artunsync,1491164,90000000,4154095392,1,16,608,832,1520,3792,7728,293664,554.445,32,496,736,3744,13312,35584,134560,631.776,1866,100,394998,1.35677e+06,1,0,0,64,200000000
20260919222140,0.8,0.2,0,0,0,./datasets/covid,artunsync,1438621,100000000,4642609352,1,16,608,880,1936,3888,8048,39264,537.954,32,528,752,3808,27200,34096,75504,651.42,1866,100,167339,1.35633e+06,1,0,0,64,200000000
20260919222219,0.8,0.2,0,0,0,./datasets/covid,artunsync,1408028,110000000,5105177496,1,16,592,896,2112,4160,8240,7.65661e+06,536.063,32,528,768,3776,27872,32608,88576,657.866,1866,100,1.45306e+08,1.42666e+06,1,0,0,64,200000000
20260919222259,0.8,0.2,0,0,0,./datasets/covid,artunsync,1361419,120000000,5537696932,1,16,592,912,2224,4016,7968,299776,508.049,48,560,784,3824,27712,36032,82960,669.095,1866,100,448891,1.4636e+06,1,0,0,64,200000000
20260919222340,0.8,0.2,0,0,0,./datasets/covid,artunsync,1342014,130000000,5940942696,1,16,560,928,2208,3856,8240,39888,477.569,32,592,784,3792,27600,34128,85520,665.789,1866,100,231076,1.34198e+06,1,0,0,64,200000000
20260919222421,0.8,0.2,0,0,0,./datasets/covid,artunsync,1338344,140000000,6317420796,1,16,464,928,2128,4032,8224,75952,442.653,32,592,800,3792,27216,32720,6.89232e+06,724.465,1866,100,242746,4.71092e+08,1,0,0,64,200000000
20260919222504,0.8,0.2,0,0,0,./datasets/covid,artunsync,1282277,150000000,6672580572,1,16,448,944,2352,4032,7648,43264,462.259,48,592,816,3760,25248,37312,90208,671.462,1866,100,289465,1.3369e+06,1,0,0,64,200000000
20260919222548,0.8,0.2,0,0,0,./datasets/covid,artunsync,1261702,160000000,7013659800,1,16,48,960,2352,4064,8192,16320,447.362,32,592,816,3376,9264,37840,157952,663.621,1866,100,291265,1.31262e+06,1,0,0,64,200000000
20260919222632,0.8,0.2,0,0,0,./datasets/covid,artunsync,1252055,170000000,7348827872,1,16,48,976,2336,4080,11056,6.89445e+06,446.079,48,608,832,2688,8736,36960,68160,661.052,1866,100,1.17869e+08,985230,1,0,0,64,200000000
20260919222717,0.8,0.2,0,0,0,./datasets/covid,artunsync,1258634,180000000,7686244328,1,16,48,960,2288,4048,8032,49600,402.903,48,608,832,2624,7248,35584,61888,649.091,1866,100,289978,842428,1,0,0,64,200000000
20260919222803,0.8,0.2,0,0,0,./datasets/covid,artunsync,1195572,190000000,8035862304,1,16,48,1056,2432,4192,8368,50288,443.534,48,608,864,2784,6736,37072,299648,671.304,1866,100,358031,2.24542e+06,1,0,0,64,200000000
20260919222851,0.8,0.2,0,0,0,./datasets/covid,artunsync,1170467,200000000,8406155724,1,16,48,1088,2496,4288,8368,8.99293e+06,484.441,48,624,880,2944,6464,16016,5.51106e+06,728.86,1866,100,2.00714e+08,3.01156e+08,1,0,0,64,200000000
20260919223052,0.8,0.2,0,0,0,./datasets/covid,btree,1129282,60000000,0,1,128,848,1152,1456,2624,9552,37920,871.891,240,976,1328,4912,8720,13664,70080,1107.45,1866,100,97188.1,619930,1,0,0,64,200000000
20260919223138,0.8,0.2,0,0,0,./datasets/covid,btree,1094787,70000000,0,1,128,880,1184,1792,4032,9856,8.48872e+06,935.647,208,992,1312,2336,7728,10544,29168,1038.92,1866,100,1.78598e+08,216344,1,0,0,64,200000000
20260919223225,0.8,0.2,0,0,0,./datasets/covid,btree,1080131,80000000,0,1,112,880,1200,1856,3952,9760,204752,920.099,208,1008,1360,2560,8096,12784,59232,1081.55,1866,100,236801,315146,1,0,0,64,200000000
20260919223314,0.8,0.2,0,0,0,./datasets/covid,btree,1025753,90000000,0,1,128,928,1248,2016,5632,11056,308320,968.571,208,1088,1440,3008,8320,16496,278880,1157.43,1866,100,395546,1.13539e+06,1,0,0,64,200000000
20260919223405,0.8,0.2,0,0,0,./datasets/covid,btree,990135,100000000,0,1,128,960,1280,2176,5120,9904,84720,1005.01,208,1120,1472,3072,8160,12800,18672,1188.79,1866,100,159614,344146,1,0,0,64,200000000
20260919223457,0.8,0.2,0,0,0,./datasets/covid,btree,973687,110000000,0,1,128,976,1312,2368,5424,10528,1.11827e+06,1025.22,192,1136,1488,3888,8384,12304,32176,1207.23,1866,100,3.25274e+06,368524,1,0,0,64,200000000
20260919223549,0.8,0.2,0,0,0,./datasets/covid,btree,962008,120000000,0,1,96,992,1328,2432,5744,9824,1.13829e+06,1039.24,272,1136,1504,3040,8000,12064,42080,1211.34,1866,100,3.66208e+06,346232,1,0,0,64,200000000
20260919223643,0.8,0.2,0,0,0,./datasets/covid,btree,940405,130000000,0,1,128,1008,1360,2512,5632,9920,9.39406e+06,1080.97,192,1152,1520,3248,8368,12864,60656,1237.95,1866,100,2.18812e+08,401621,1,0,0,64,200000000
20260919223738,0.8,0.2,0,0,0,./datasets/covid,btree,911262,140000000,0,1,128,1056,1392,2544,5792,10720,5.47718e+06,1105.07,384,1184,1568,3392,8320,12608,18864,1266.56,1866,100,7.44095e+07,368638,1,0,0,64,200000000
