timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260920045644,0.2,0.8,0,0,0,./datasets/covid,alex,2842627,90000000,2050240584,1,0,208,336,576,784,6960,10736,219.099,48,336,512,848,1872,166992,921664,427.52,5,100,21606.2,1.79368e+07,1,0,0,64,200000000
20260920045703,0.2,0.8,0,0,0,./datasets/covid,alex,2775779,130000000,2734602480,1,0,224,352,608,880,7584,9840,233.703,48,352,544,1024,2192,149440,1.00551e+07,470.096,5,100,28632.8,3.16095e+08,1,0,0,64,200000000
20260920045722,0.2,0.8,0,0,0,./datasets/covid,alex,2586154,170000000,3644468944,1,0,224,384,624,912,8272,13008,243.806,48,368,576,1120,2560,187312,1.61925e+06,466.331,5,100,31253.8,3.01985e+07,1,0,0,64,200000000
20260920045835,0.2,0.8,0,0,0,./datasets/covid,lipp,3410242,90000000,7998107506,1,0,64,400,1104,1504,7488,39840,149.233,0,160,592,2448,4160,8032,62944,280.255,5,100,91923.8,208125,1,0,0,64,200000000
20260920045902,0.2,0.8,0,0,0,./datasets/covid,lipp,2617021,130000000,12031574254,1,0,32,672,1216,1632,8848,33552,173.471,0,224,784,2672,5200,8112,84624,389.878,5,100,124325,323242,1,0,0,64,200000000
20260920045936,0.2,0.8,0,0,0,./datasets/covid,lipp,2259727,170000000,16207184154,1,0,32,848,1296,1792,7984,10320,207.794,0,288,864,2800,5440,8848,65424,462.163,5,100,140378,350306,1,0,0,64,200000000
20260920050049,0.2,0.8,0,0,0,./datasets/covid,artunsync,2544157,90000000,4153532444,1,16,400,560,800,1104,7456,17616,434.898,32,320,496,2528,5744,16768,2.14386e+07,445.429,5,100,35470.2,1.13781e+09,1,0,0,64,200000000
20260920050113,0.2,0.8,0,0,0,./datasets/covid,artunsync,2272975,130000000,5940636236,1,16,464,640,880,1152,6864,14672,481.347,32,368,528,2576,15792,17776,82096,439.17,5,100,33933.5,502251,1,0,0,64,200000000
20260920050138,0.2,0.8,0,0,0,./datasets/covid,artunsync,2212734,170000000,7348085900,1,16,480,688,928,1216,8128,13888,484.801,32,368,544,2000,8496,18128,72128,432.193,5,100,62591.4,355787,1,0,0,64,200000000
20260920050302,0.2,0.8,0,0,0,./datasets/covid,btree,1417488,90000000,0,1,208,592,800,1056,1360,8960,18464,623.957,176,688,928,2832,5936,9344,180704,739.044,5,100,53620.5,278434,1,0,0,64,200000000
20260920050341,0.2,0.8,0,0,0,./datasets/covid,btree,1291059,130000000,0,1,192,656,880,1152,1440,8336,17200,688.968,192,752,1008,1440,6144,9808,36096,809.02,5,100,54324,152223,1,0,0,64,200000000
20260920050422,0.2,0.8,0,0,0,./datasets/covid,btree,1211576,170000000,0,1,176,704,944,1200,1504,8912,17152,738.865,192,800,1072,1520,6544,10768,296704,860.497,5,100,62630.4,453248,1,0,0,64,200000000
