timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260920200459,0.5,0.5,0,0,0,./datasets/libio,alexol,16457256,75000000,1604055336,8,16,320,544,912,1408,7472,671696,336.341,48,464,752,1296,13728,139456,521648,581.089,72,100,6.18516e+06,9.07597e+06,1,0,0,64,200000000
20260920200502,0.5,0.5,0,0,0,./datasets/libio,alexol,14551105,100000000,2161435744,8,16,368,608,1056,3920,10112,586672,363.427,64,512,816,1632,17536,170208,1.92123e+06,662.726,72,100,1.862e+06,3.6938e+07,1,0,0,64,200000000
20260920200506,0.5,0.5,0,0,0,./datasets/libio,alexol,14956150,125000000,2742713904,8,16,352,608,1088,3744,8048,258976,346.074,96,496,800,1696,9120,129120,482768,626.688,72,100,936380,1.16984e+07,1,0,0,64,200000000
20260920200510,0.5,0.5,0,0,0,./datasets/libio,alexol,12515328,150000000,3649945440,8,16,368,656,1856,7296,23648,2.02392e+06,413.944,64,512,896,2544,31856,353744,2.42797e+06,791.555,72,100,2.03947e+07,8.77152e+07,1,0,0,64,200000000
20260920200514,0.5,0.5,0,0,0,./datasets/libio,alexol,14612445,175000000,3734038536,8,16,368,656,1216,5408,10304,31152,359.66,96,512,896,2128,7264,91024,5.81482e+06,657.457,72,100,151718,1.36079e+08,1,0,0,64,200000000
20260920200518,0.5,0.5,0,0,0,./datasets/libio,alexol,13139824,200000000,4862764168,8,16,352,656,1184,3504,9056,969328,353.748,48,512,864,2144,24976,411056,770432,744.308,72,100,5.92893e+06,4.22197e+07,1,0,0,64,200000000
20260920200608,0.5,0.5,0,0,0,./datasets/libio,sali,17619748,75000000,11872330112,8,16,144,288,800,4080,8320,20544,150.614,48,336,752,4048,9248,15024,120496,511.076,72,100,75106.9,987691,1,0,0,64,200000000
20260920200616,0.5,0.5,0,0,0,./datasets/libio,sali,14678448,100000000,16510771136,8,16,144,304,1088,5712,11296,24032,174.381,48,432,832,4128,9184,13184,99040,585.818,72,100,153996,968569,1,0,0,64,200000000
20260920200634,0.5,0.5,0,0,0,./datasets/libio,sali,12903708,125000000,21302044224,8,16,48,320,1136,9920,14624,37152,177.242,48,464,912,5472,11472,17104,246656,668.781,72,100,283665,1.45407e+06,1,0,0,64,200000000
20260920200652,0.5,0.5,0,0,0,./datasets/libio,sali,9983248,150000000,25996055168,8,16,32,528,5584,10480,15040,234496,303.045,48,528,1312,6928,11280,17152,224448,843.046,72,100,1.26513e+06,2.09663e+06,1,0,0,64,200000000
