timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260920133211,0.5,0.5,0,0,0,./datasets/libio,alex,3132764,100000000,2160245312,1,0,224,432,688,976,7088,62208,247.267,64,368,640,1088,16016,116016,559552,488.753,72,100,43086.1,6.66108e+06,1,0,0,64,200000000
20260920133247,0.5,0.5,0,0,0,./datasets/libio,alex,2775873,150000000,3650929136,1,0,256,480,768,1088,7504,5.51512e+06,274.02,64,400,688,1312,17088,179936,1.71489e+07,585.952,72,100,6.02047e+07,6.0497e+08,1,0,0,64,200000000
20260920133325,0.5,0.5,0,0,0,./datasets/libio,alex,2737170,200000000,4863434720,1,0,256,496,816,1136,8000,2.69826e+07,317.755,48,416,736,1504,7872,184016,2.71186e+06,584.105,72,100,1.44111e+09,4.83749e+07,1,0,0,64,200000000
20260920133454,0.5,0.5,0,0,0,./datasets/libio,lipp,4013553,100000000,8380622288,1,0,32,128,512,1120,7344,43536,76.3455,0,144,464,2400,3664,7216,66336,239.056,72,100,36300.9,184781,1,0,0,64,200000000
20260920133535,0.5,0.5,0,0,0,./datasets/libio,lipp,3015126,150000000,13316762868,1,0,16,128,896,1344,7728,37488,84.926,0,208,608,2544,5344,8048,7.27957e+06,355.472,72,100,56317,1.05294e+08,1,0,0,64,200000000
20260920133625,0.5,0.5,0,0,0,./datasets/libio,lipp,2655821,200000000,17880643706,1,0,16,208,1056,1456,7984,1.42044e+07,127.95,0,256,688,2704,5440,8560,63888,394.501,72,100,3.99439e+08,278943,1,0,0,64,200000000
20260920133808,0.5,0.5,0,0,0,./datasets/libio,artunsync,2400721,100000000,6798963448,1,16,400,576,832,1120,7024,60000,338.571,32,272,464,3296,7024,10000,70080,325.487,72,100,80078.7,357399,1,0,0,64,200000000
20260920133846,0.5,0.5,0,0,0,./datasets/libio,artunsync,2781960,150000000,8303268612,1,16,32,512,800,1088,7360,46960,180.124,32,64,368,1744,4720,8704,322480,186.36,72,100,79751.2,369853,1,0,0,64,200000000
20260920133923,0.5,0.5,0,0,0,./datasets/libio,artunsync,2911281,200000000,9036149728,1,16,32,352,688,992,7280,2.44556e+07,137.416,32,48,272,1120,4016,7504,66336,116.234,72,100,1.18382e+09,103058,1,0,0,64,200000000
20260920134125,0.5,0.5,0,0,0,./datasets/libio,btree,1489694,100000000,0,1,128,592,816,1056,1360,8768,65360,624.446,160,688,944,2832,6336,9888,299824,752.837,72,100,62144.7,427204,1,0,0,64,200000000
20260920134240,0.5,0.5,0,0,0,./datasets/libio,btree,1347523,150000000,0,1,128,656,896,1152,1440,8768,65376,692.056,160,768,1024,1472,6400,9792,104928,823.119,72,100,72372.2,211595,1,0,0,64,200000000
20260920134401,0.5,0.5,0,0,0,./datasets/libio,btree,1242554,200000000,0,1,160,720,960,1232,1584,9344,96304,755.145,192,832,1104,1536,6256,9680,231312,884.683,72,100,99684.9,302184,1,0,0,64,200000000
20260920134537,0.5,0.5,0,0,0,./datasets/libio,dili,3016376,100000000,3140701592,1,0,336,528,800,1120,8272,322000,273.479,16,352,592,1888,4112,8016,46512,337.615,72,100,302851,155283,1,0,0,64,200000000
20260920134620,0.5,0.5,0,0,0,./datasets/libio,dili,2441864,150000000,6106056872,1,0,368,608,944,1360,7744,34688,347.719,16,400,736,2736,4976,8464,2.54994e+07,545.79,72,100,81819,1.28912e+09,1,0,0,64,200000000
20260920134710,0.5,0.5,0,0,0,./datasets/libio,dili,2102315,200000000,8508577352,1,0,352,656,1072,1536,7984,1.38547e+07,364.899,16,496,832,2832,5600,8832,2.57926e+07,639.941,72,100,3.80025e+08,1.31786e+09,1,0,0,64,200000000
