timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260920152130,0.5,0.5,0,0,0,./datasets/libio,alex,3205644,75000000,1603282424,1,0,224,400,656,928,7312,26432,240.452,48,368,608,992,12736,83024,546128,458.062,5,100,34823.9,5.91077e+06,1,0,0,64,200000000
20260920152147,0.5,0.5,0,0,0,./datasets/libio,alex,2995322,100000000,2161846096,1,0,224,448,720,1008,6944,40480,252.161,80,384,656,1152,13184,112624,357712,495.114,5,100,42563.7,6.51944e+06,1,0,0,64,200000000
20260920152246,0.5,0.5,0,0,0,./datasets/libio,alex,2763696,125000000,3081841024,1,0,240,480,752,1056,7184,53680,261.172,48,384,672,1216,24944,174272,984240,546.253,5,100,56046.5,1.91015e+07,1,0,0,64,200000000
20260920152303,0.5,0.5,0,0,0,./datasets/libio,alex,3090783,150000000,3151888504,1,0,240,480,768,1072,7168,16320,254.601,80,400,688,1264,2080,37504,2.55741e+07,630.843,5,100,42715.3,3.30301e+09,1,0,0,64,200000000
20260920152426,0.5,0.5,0,0,0,./datasets/libio,alex,2357278,175000000,4607101072,1,0,272,528,832,1184,7808,28496,294.419,80,416,752,1408,37488,286016,1.07408e+06,642.729,5,100,51861.6,3.42048e+07,1,0,0,64,200000000
20260920152441,0.5,0.5,0,0,0,./datasets/libio,alex,3250747,200000000,4619424168,1,0,224,464,768,1104,7648,106608,218.22,48,400,656,1216,2000,10928,195264,453.463,5,100,101055,269190,1,0,0,64,200000000
20260920152726,0.5,0.5,0,0,0,./datasets/libio,lipp,4564860,75000000,5996328332,1,0,48,128,512,1008,8480,52608,76.1295,0,128,416,1232,3056,7888,38928,191.112,5,100,43956.9,96261.9,1,0,0,64,200000000
20260920152744,0.5,0.5,0,0,0,./datasets/libio,lipp,3534652,100000000,8380274868,1,0,32,128,784,1232,7264,62272,85.303,0,192,528,2512,5296,8880,73840,296.168,5,100,53243.3,257016,1,0,0,64,200000000
20260920152818,0.5,0.5,0,0,0,./datasets/libio,lipp,4858790,125000000,9088383872,1,0,32,128,464,800,7632,54112,70.362,0,112,336,1088,2080,7632,43888,168.561,5,100,35307.4,80501,1,0,0,64,200000000
20260920152835,0.5,0.5,0,0,0,./datasets/libio,lipp,3962111,150000000,11274601426,1,0,32,128,496,832,6880,18352,76.898,0,128,448,2512,5296,7680,34240,251.419,5,100,23461.1,224517,1,0,0,64,200000000
20260920152920,0.5,0.5,0,0,0,./datasets/libio,lipp,4491956,175000000,11424675496,1,0,16,128,336,528,6816,68880,61.8306,0,32,304,2480,4144,7312,2.31218e+08,1102.69,5,100,38671,2.11981e+11,1,0,0,64,200000000
20260920152936,0.5,0.5,0,0,0,./datasets/libio,lipp,4382672,200000000,13452158560,1,0,16,128,352,560,7200,12160,67.0384,0,112,304,2496,4416,7440,82672,212.461,5,100,20041.2,242505,1,0,0,64,200000000
20260920153140,0.5,0.5,0,0,0,./datasets/libio,dili,3321501,75000000,1793151912,1,0,288,496,768,1056,7120,84096,236.865,16,320,544,1616,3680,7648,76896,283.056,5,100,94562.1,157109,1,0,0,64,200000000
20260920153158,0.5,0.5,0,0,0,./datasets/libio,dili,2939048,100000000,3138904392,1,0,352,544,848,1184,7296,32336,305.311,16,368,640,2272,4304,7856,16656,384.748,5,100,74947.6,157850,1,0,0,64,200000000
20260920153240,0.5,0.5,0,0,0,./datasets/libio,dili,3263291,125000000,2453886392,1,0,16,512,800,1120,8112,79696,197.514,16,48,480,960,3376,8272,3.45381e+08,1585.82,5,100,107182,4.71627e+11,1,0,0,64,200000000
