timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260916201747,0.8,0.2,0,0,0,./datasets/libio,alex,3592386,60000000,1543830480,1,0,272,464,768,1168,8048,58128,274.703,80,464,704,1200,25888,158976,403728,595.205,5,100,57638.4,1.01292e+07,1,0,0,64,200000000
20260916201759,0.8,0.2,0,0,0,./datasets/libio,alex,4023270,70000000,1544669080,1,0,256,448,768,1168,7824,55968,251.716,80,464,688,1088,1760,10048,60096,491.204,5,100,50098.5,97266.2,1,0,0,64,200000000
20260916201816,0.8,0.2,0,0,0,./datasets/libio,alex,2977957,80000000,2053374544,1,0,288,544,960,3264,7968,30704,313.762,80,496,800,1696,47344,228560,461088,735.029,5,100,71150.3,2.56577e+07,1,0,0,64,200000000
20260916201831,0.8,0.2,0,0,0,./datasets/libio,alex,3522708,90000000,2057541072,1,0,272,480,848,1280,7328,85056,270.965,64,480,736,1248,2064,10864,39504,529.27,5,100,70164.7,90816,1,0,0,64,200000000
20260916201847,0.8,0.2,0,0,0,./datasets/libio,alex,3139540,100000000,2161877456,1,0,288,560,944,1392,8064,45376,321.357,160,512,832,1568,7472,60992,295456,611.421,5,100,63287.9,3.40535e+06,1,0,0,64,200000000
20260916201906,0.8,0.2,0,0,0,./datasets/libio,alex,2684577,110000000,2738246272,1,0,288,592,1136,3408,8368,200208,326.701,80,512,848,1952,44032,535488,6.24418e+06,913.462,5,100,204229,5.54051e+08,1,0,0,64,200000000
20260916201921,0.8,0.2,0,0,0,./datasets/libio,alex,3319487,120000000,2740279304,1,0,288,544,976,2016,8240,63216,291.456,80,512,800,1520,3808,12672,38768,571.174,5,100,80736.7,151418,1,0,0,64,200000000
20260916201938,0.8,0.2,0,0,0,./datasets/libio,alex,3013589,130000000,2767607648,1,0,304,592,1024,1840,7760,30688,332.408,96,528,880,1792,3632,30800,107136,623.615,5,100,74798,705206,1,0,0,64,200000000
20260916202000,0.8,0.2,0,0,0,./datasets/libio,alex,2327680,140000000,3597075912,1,0,352,656,1168,3360,7952,22464,379.279,64,576,976,2208,75008,502880,743632,955.065,5,100,93684.2,8.46387e+07,1,0,0,64,200000000
20260916202017,0.8,0.2,0,0,0,./datasets/libio,alex,2961618,150000000,3648824240,1,0,288,576,1088,3328,7408,36288,295.345,80,528,832,1792,5328,62736,212768,620.857,5,100,91501.7,2.5271e+06,1,0,0,64,200000000
20260916202034,0.8,0.2,0,0,0,./datasets/libio,alex,2990406,160000000,3651058496,1,0,288,592,1040,1520,7824,123840,306.413,80,528,864,1760,3072,9056,300864,615.81,5,100,111122,1.28696e+06,1,0,0,64,200000000
20260916202053,0.8,0.2,0,0,0,./datasets/libio,alex,2680895,170000000,3665080392,1,0,320,640,1280,3440,8576,6.42373e+06,376.267,160,576,976,2160,4048,14608,157424,673.194,5,100,1.02238e+08,532813,1,0,0,64,200000000
20260916202115,0.8,0.2,0,0,0,./datasets/libio,alex,2294319,180000000,4150863344,1,0,400,720,1312,3504,8016,77888,410.105,112,624,1088,2528,37568,511280,1.69078e+06,916.563,5,100,156205,1.05606e+08,1,0,0,64,200000000
20260916202137,0.8,0.2,0,0,0,./datasets/libio,alex,2304557,190000000,4837760200,1,0,352,672,1152,1696,7984,64240,344.565,80,624,960,2112,50304,379136,2.20483e+06,882.409,5,100,127081,1.28806e+08,1,0,0,64,200000000
20260916202158,0.8,0.2,0,0,0,./datasets/libio,alex,2459320,200000000,4863501264,1,0,288,672,1760,3632,8784,64112,334.463,80,608,976,2256,5488,34848,217072,705.306,5,100,178720,1.82289e+06,1,0,0,64,200000000
20260916202339,0.8,0.2,0,0,0,./datasets/libio,lipp,3019779,60000000,4689142072,1,0,48,208,2016,2736,8256,6.33336e+06,144.042,0,208,480,2512,4448,7968,3.52878e+07,613.278,5,100,9.93827e+07,1.23296e+10,1,0,0,64,200000000
20260916202401,0.8,0.2,0,0,0,./datasets/libio,lipp,2739135,70000000,5546860436,1,0,48,208,2272,4480,8624,4.52222e+06,153.777,0,224,624,3712,6656,10144,27168,357.985,5,100,5.07302e+07,426325,1,0,0,64,200000000
20260916202424,0.8,0.2,0,0,0,./datasets/libio,lipp,2682695,80000000,6457145948,1,0,48,208,944,3440,8448,418128,122.082,0,256,720,3792,6896,9792,280832,393.475,5,100,518866,1.88513e+06,1,0,0,64,200000000
