timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260917015245,0.2,0.8,0,0,0,./datasets/libio,alex,2042240,90000000,2057550680,1,0,288,544,928,3264,8480,67232,313.486,64,464,752,1408,18592,138544,465600,589.706,72,100,116296,9.05441e+06,1,0,0,64,200000000
20260917015311,0.2,0.8,0,0,0,./datasets/libio,alex,1888645,130000000,2768550360,1,0,320,608,992,1488,7952,38816,349.592,64,512,848,1584,9968,164192,1.11858e+06,651.871,72,100,86190.2,2.0249e+07,1,0,0,64,200000000
20260917015341,0.2,0.8,0,0,0,./datasets/libio,alex,1690637,170000000,3666881864,1,0,384,656,1232,3504,8800,16144,387.196,48,560,912,2080,8720,192560,775440,713.595,72,100,110077,1.89917e+07,1,0,0,64,200000000
20260917015501,0.2,0.8,0,0,0,./datasets/libio,lipp,2664092,90000000,7406738116,1,0,48,208,2448,3952,8192,8.99651e+06,263.217,0,192,672,3376,5136,8144,99872,319.571,72,100,7.98953e+08,346517,1,0,0,64,200000000
20260917015537,0.2,0.8,0,0,0,./datasets/libio,lipp,1950300,130000000,11359082164,1,0,32,208,2528,4384,7648,15568,165.215,0,272,976,3648,6240,8176,120032,458.296,72,100,196116,582866,1,0,0,64,200000000
20260917015626,0.2,0.8,0,0,0,./datasets/libio,lipp,1524673,170000000,15208729778,1,0,32,896,3744,5520,8272,25728,279.565,0,304,1136,3872,6432,9040,91296,600.517,72,100,525371,685943,1,0,0,64,200000000
20260917015753,0.2,0.8,0,0,0,./datasets/libio,artunsync,1524935,90000000,6076853244,1,16,624,992,2368,4192,7376,33520,605.114,32,288,720,4512,8928,14608,205216,429.033,72,100,237981,1.28497e+06,1,0,0,64,200000000
20260917015826,0.2,0.8,0,0,0,./datasets/libio,artunsync,1630574,130000000,7877145416,1,16,608,1024,2352,4240,8240,58032,570.394,32,64,640,3776,7184,10976,123872,347.826,72,100,319688,482522,1,0,0,64,200000000
20260917015856,0.2,0.8,0,0,0,./datasets/libio,artunsync,1845185,170000000,8635722204,1,16,48,880,2336,3760,7248,15376,365.964,32,48,480,1984,5280,11360,103360,183.71,72,100,262072,252733,1,0,0,64,200000000
20260917020034,0.2,0.8,0,0,0,./datasets/libio,btree,1030749,90000000,0,1,160,832,1152,2224,4016,9088,43840,872.328,160,928,1280,3968,7248,11616,193248,1013.8,72,100,147380,494287,1,0,0,64,200000000
20260917020128,0.2,0.8,0,0,0,./datasets/libio,btree,926588,130000000,0,1,192,944,1264,1728,4064,9488,17968,977.939,176,1072,1424,2976,7248,11344,306992,1130.49,72,100,108751,627453,1,0,0,64,200000000
20260917020227,0.2,0.8,0,0,0,./datasets/libio,btree,842345,170000000,0,1,176,1040,1392,2432,5792,9824,31232,1082.71,176,1152,1536,3136,7584,11664,191392,1233.44,72,100,155770,405789,1,0,0,64,200000000
20260917020356,0.2,0.8,0,0,0,./datasets/libio,dili,1706593,90000000,2558858872,1,0,528,864,2112,5504,11776,14576,451.223,16,560,896,2704,6224,10880,293632,510.434,72,100,272505,640107,1,0,0,64,200000000
20260917020432,0.2,0.8,0,0,0,./datasets/libio,dili,1434337,130000000,4973325672,1,0,592,976,2560,4592,8016,18128,598.891,16,624,1104,3952,5984,9680,83984,722.854,72,100,266762,390656,1,0,0,64,200000000
20260917020514,0.2,0.8,0,0,0,./datasets/libio,dili,1250774,170000000,7129465752,1,0,608,1056,1792,4192,8240,37120,589.802,16,736,1264,4080,6672,9536,101136,864.957,72,100,226026,434715,1,0,0,64,200000000
