timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260814142430,0.5,0.5,0,0,0,./datasets/books_800m,alex,2774449,225000000,4637776856,1,0,272,496,736,1008,7024,15424,314.18,96,416,768,1504,3568,8032,3.2528e+06,526.161,5,100,32902.6,5.21941e+07,1,0,0,64,800000000
20260814142450,0.5,0.5,0,0,0,./datasets/books_800m,alex,2489546,250000000,6136307072,1,0,272,480,720,1008,6688,16432,302.646,80,400,704,1312,3296,9344,4.88632e+06,574.005,5,100,30152.2,2.84484e+08,1,0,0,64,800000000
20260814142508,0.5,0.5,0,0,0,./datasets/books_800m,alex,2727295,275000000,6143089744,1,0,288,496,752,1120,8112,73568,325.946,96,432,752,1408,6080,8944,1.24663e+07,615.43,5,100,70556.3,1.20705e+09,1,0,0,64,800000000
20260814142529,0.5,0.5,0,0,0,./datasets/books_800m,alex,2419342,300000000,6185285960,1,0,320,528,800,1120,7792,32768,352.73,96,480,912,1840,5072,9072,360656,590,5,100,43152.8,867241,1,0,0,64,800000000
20260814142554,0.5,0.5,0,0,0,./datasets/books_800m,alex,1996627,325000000,8180016280,1,0,320,528,784,1104,7360,41680,348.455,64,464,800,1536,4000,26064,2.51083e+07,955.732,5,100,42512.7,5.85305e+09,1,0,0,64,800000000
20260814142614,0.5,0.5,0,0,0,./datasets/books_800m,alex,2572655,350000000,8186207984,1,0,320,528,784,1104,7216,14480,350.857,144,464,800,1456,3600,8224,584880,547.74,5,100,33872.6,1.43919e+06,1,0,0,64,800000000
20260814142636,0.5,0.5,0,0,0,./datasets/books_800m,alex,2328195,375000000,8207560496,1,0,336,560,832,1184,7440,1.98796e+07,454.408,96,496,912,1792,5152,8912,256672,605.903,5,100,1.56099e+09,663482,1,0,0,64,800000000
20260814142700,0.5,0.5,0,0,0,./datasets/books_800m,alex,2039064,400000000,8288104608,1,0,352,608,896,1264,7712,36352,408.237,112,544,1072,2272,6144,11296,7.16803e+06,720.9,5,100,52427.2,2.17178e+08,1,0,0,64,800000000
20260814142729,0.5,0.5,0,0,0,./datasets/books_800m,alex,1723109,425000000,10899679632,1,0,352,608,896,1264,7840,8.27118e+06,435.643,128,528,928,1904,5424,12112,1.57844e+07,794.744,5,100,2.70768e+08,1.62101e+09,1,0,0,64,800000000
20260814142751,0.5,0.5,0,0,0,./datasets/books_800m,alex,2284408,450000000,10915998688,1,0,352,592,880,1216,7408,16928,392.652,128,512,880,1632,4624,9152,625152,603.694,5,100,39206.5,2.11251e+06,1,0,0,64,800000000
