timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260814122153,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1327124,225000000,5024388824,1,16,592,880,1216,1584,7472,44224,632.665,144,816,1296,1872,45584,189584,402880,1014.39,72,100,73913.4,1.61846e+07,1,0,0,64,800000000
20260814122231,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1307125,250000000,6157897184,1,0,608,896,1232,1616,8400,1.41065e+07,700.385,144,800,1280,2096,40384,127168,382080,1039.01,72,100,7.89794e+08,9.69492e+06,1,0,0,64,800000000
20260814122308,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1380036,275000000,6327797224,1,16,624,912,1232,1584,8000,31760,653.018,128,832,1312,1840,13712,91536,763600,953.836,72,100,71263.3,6.40675e+06,1,0,0,64,800000000
20260814122347,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1278364,300000000,6838857072,1,0,640,928,1248,1664,8304,1.23186e+07,722.105,176,880,1376,2000,27936,109104,1.21351e+07,1177.67,72,100,6.00195e+08,1.45058e+09,1,0,0,64,800000000
20260814122428,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1231313,325000000,8143194656,1,0,640,928,1264,1808,8608,40016,675.942,176,848,1344,2192,44144,165200,639488,1115.9,72,100,87384.7,1.71344e+07,1,0,0,64,800000000
20260814122505,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1340501,350000000,8282541640,1,80,640,928,1264,5040,8896,30096,674.027,176,848,1344,1920,10768,67840,284048,970,72,100,90752.7,2.95131e+06,1,0,0,64,800000000
20260814122545,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1272286,375000000,8546257480,1,48,656,944,1264,1680,7856,22048,686.062,96,896,1408,1984,15232,102928,372320,1031.2,72,100,72987.8,4.73111e+06,1,0,0,64,800000000
20260814122627,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1180844,400000000,9245823600,1,16,672,960,1280,1696,7952,35824,701.715,160,944,1472,2208,35408,179984,1.22243e+07,1200,72,100,81813.1,6.13538e+08,1,0,0,64,800000000
20260814122711,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1155762,425000000,10716413248,1,0,672,960,1280,1712,8352,30560,700.31,176,912,1424,2256,49808,169344,1.31472e+07,1222.3,72,100,71479,7.00953e+08,1,0,0,64,800000000
20260814122750,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1285688,450000000,10939725592,1,16,656,960,1280,1648,8128,67008,692.766,128,880,1392,1984,14400,84784,482544,1012.45,72,100,89913.3,4.76731e+06,1,0,0,64,800000000
20260814122831,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1211853,475000000,11168362648,1,48,672,976,1312,1792,8240,294976,715.218,160,928,1440,2048,18160,113232,269904,1065.09,72,100,424558,4.67963e+06,1,0,0,64,800000000
20260814122915,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1159442,500000000,11497131232,1,32,688,992,1312,1728,8160,49488,724.542,160,960,1504,2144,21872,123152,1.88914e+06,1123.88,72,100,88712.2,2.14525e+07,1,0,0,64,800000000
20260814123000,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1101434,525000000,12093917584,1,32,704,992,1328,1920,8720,56464,738.661,144,992,1552,2368,34512,154208,429840,1199,72,100,125935,1.30241e+07,1,0,0,64,800000000
20260814123048,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1046809,550000000,13641844960,1,16,704,1008,1344,1760,8736,66160,742.674,176,976,1552,2496,56304,224016,610080,1277.88,72,100,95948,2.43026e+07,1,0,0,64,800000000
20260814123132,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1152633,575000000,14330983248,1,32,704,992,1328,5392,8784,50032,734.539,224,944,1456,2144,32768,147232,396416,1139.76,72,100,107667,1.11211e+07,1,0,0,64,800000000
20260814123215,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1181144,600000000,14589423440,1,32,704,992,1328,1776,8720,1.70907e+07,855.462,208,944,1472,2080,17808,108448,646304,1090.02,72,100,1.89542e+09,7.59021e+06,1,0,0,64,800000000
20260814123258,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1146815,625000000,14881665104,1,48,704,1008,1344,1760,8528,29648,742.472,160,976,1504,2160,24032,163696,791232,1143.41,72,100,80031.4,1.27708e+07,1,0,0,64,800000000
20260814123344,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1112271,650000000,15235876888,1,32,720,1008,1344,1840,9200,90960,751.548,144,992,1552,2240,28000,167584,772336,1181.85,72,100,155595,1.646e+07,1,0,0,64,800000000
20260814123430,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1077905,675000000,15705825912,1,32,720,1024,1360,1840,8992,318448,761.171,176,1008,1584,2336,32096,179744,686032,1219.99,72,100,488842,1.85913e+07,1,0,0,64,800000000
20260814123519,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1038607,700000000,16417273616,1,32,736,1040,1376,1872,8896,43440,769.531,176,1024,1616,2496,42240,210624,710096,1269.58,72,100,95076.6,2.19118e+07,1,0,0,64,800000000
20260814123609,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1006908,725000000,17714124776,1,32,736,1040,1376,5744,8944,2.47242e+07,872.676,256,1024,1616,2576,58944,288912,2.28468e+07,1411.88,72,100,2.41555e+09,2.10507e+09,1,0,0,64,800000000
20260814123656,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1069499,750000000,18720715440,1,32,720,1024,1360,5264,9264,73584,764.958,176,992,1536,2320,51712,190960,673152,1243.56,72,100,128485,2.1802e+07,1,0,0,64,800000000
20260814123741,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1125882,775000000,19169089104,1,16,720,1024,1360,1808,8848,40064,756.128,176,976,1504,2176,28832,147008,1.2343e+07,1215.79,72,100,85995.1,6.33098e+08,1,0,0,64,800000000
20260814123825,0.5,0.5,0,0,0,./datasets/osm_800m,alex,1126399,800000000,19500598256,1,32,720,1024,1360,1824,8880,28928,759.385,112,992,1520,2192,27312,145040,424736,1159.75,72,100,79191.7,9.17023e+06,1,0,0,64,800000000
20260814124203,0.5,0.5,0,0,0,./datasets/osm_800m,lipp,1748282,225000000,41573171974,1,0,448,1088,1504,1952,7392,37200,497.787,0,560,1184,3088,5904,8688,1.51126e+07,743.393,72,100,223790,9.04544e+08,1,0,0,64,800000000
20260814124244,0.5,0.5,0,0,0,./datasets/osm_800m,lipp,1706908,250000000,43601387504,1,0,464,1136,1600,2144,7440,32256,530.922,0,576,1232,3280,5904,8720,99648,720.973,72,100,232898,416676,1,0,0,64,800000000
20260814124329,0.5,0.5,0,0,0,./datasets/osm_800m,lipp,1645334,275000000,45662119516,1,0,496,1184,1696,5584,9136,61232,569.173,0,592,1296,3184,6464,10288,62672,756.225,72,100,297194,381224,1,0,0,64,800000000
