timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260819142036,0.5,0.5,0,0,0,./datasets/books_800m,alexol,16907494,225000000,4629482136,8,16,352,592,1680,4016,6560,48224,413.789,128,464,864,2032,5040,8288,500528,576.787,1866,100,116165,2.93387e+06,1,0,0,64,800000000
20260819142039,0.5,0.5,0,0,0,./datasets/books_800m,alexol,13884653,250000000,6145385688,8,16,352,592,880,2336,6656,985328,408.74,112,464,784,1456,6816,452576,1.22624e+06,785.21,1866,100,9.66699e+06,1.1791e+08,1,0,0,64,800000000
20260819142043,0.5,0.5,0,0,0,./datasets/books_800m,alexol,17613860,275000000,6151031960,8,16,368,592,896,1248,6320,10672,399.96,96,480,816,1424,2144,6688,93152,547.653,1866,100,34157.9,103191,1,0,0,64,800000000
20260819142046,0.5,0.5,0,0,0,./datasets/books_800m,alexol,15456015,300000000,6187097976,8,16,400,640,960,1376,6224,13584,436.243,96,528,976,1776,2944,7664,703520,632.434,1866,100,36065.1,2.91086e+06,1,0,0,64,800000000
20260819142050,0.5,0.5,0,0,0,./datasets/books_800m,alexol,11670940,325000000,8194812168,8,16,400,656,976,1536,9536,4.502e+06,496.418,128,528,896,1680,9056,991504,1.18168e+06,984.096,1866,100,9.7984e+07,2.6738e+08,1,0,0,64,800000000
20260819142054,0.5,0.5,0,0,0,./datasets/books_800m,alexol,15999715,350000000,8197958688,8,16,400,640,960,1344,6576,10880,443.245,112,528,896,1568,2464,6960,152016,601.279,1866,100,40638.5,247884,1,0,0,64,800000000
20260819142057,0.5,0.5,0,0,0,./datasets/books_800m,alexol,14864236,375000000,8210929408,8,16,416,688,1008,1392,6208,11200,468.146,144,560,1008,1808,2880,7648,404816,659.11,1866,100,39471.1,1.36098e+06,1,0,0,64,800000000
20260819142101,0.5,0.5,0,0,0,./datasets/books_800m,alexol,13411727,400000000,8316690784,8,16,448,720,1072,1520,6272,15984,498.692,112,608,1168,2112,3568,92784,1.7139e+06,761.373,1866,100,43831.6,2.30838e+07,1,0,0,64,800000000
20260819142106,0.5,0.5,0,0,0,./datasets/books_800m,alexol,10824941,425000000,10913860944,8,16,448,720,1072,3264,10272,863632,520.2,144,592,1040,2048,145760,618288,1.49245e+06,1059.77,1866,100,8.45304e+06,1.77993e+08,1,0,0,64,800000000
20260819142110,0.5,0.5,0,0,0,./datasets/books_800m,alexol,15046690,450000000,10922628784,8,16,416,688,1008,1472,6416,24048,469.845,128,544,960,1680,2848,7200,323632,641.842,1866,100,45660.7,1.08559e+06,1,0,0,64,800000000
20260819142113,0.5,0.5,0,0,0,./datasets/books_800m,alexol,14085171,475000000,10945221440,8,16,448,704,1040,1584,6800,10032,491.797,96,592,1056,1872,4880,8144,461472,692.169,1866,100,45554.4,2.04946e+06,1,0,0,64,800000000
20260819142117,0.5,0.5,0,0,0,./datasets/books_800m,alexol,12918213,500000000,10997724512,8,16,480,752,1088,1744,6848,157712,527.644,112,640,1168,2064,4928,9072,656592,761.983,1866,100,146987,6.53394e+06,1,0,0,64,800000000
