timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260920234913,0.5,0.5,0,0,0,./datasets/osm,alexol,18932170,75000000,1730218320,16,16,624,960,1456,5712,21120,222208,686.206,96,816,1376,3568,25680,97872,462784,1018.92,5,100,959975,6.03232e+06,1,0,0,64,200000000
20260920234916,0.5,0.5,0,0,0,./datasets/osm,alexol,17613448,100000000,2315437568,16,32,672,1056,1664,7728,30912,362208,756.184,112,880,1536,3792,28016,81840,222160,1103.83,5,100,1.23714e+06,5.17364e+06,1,0,0,64,200000000
20260920234919,0.5,0.5,0,0,0,./datasets/osm,alexol,17138694,125000000,2832536656,16,16,704,1104,1744,8576,26672,1.20838e+06,790.087,144,912,1616,3280,25888,97168,398368,1128.76,5,100,6.33845e+06,5.45128e+06,1,0,0,64,200000000
20260920234923,0.5,0.5,0,0,0,./datasets/osm,alexol,15869248,150000000,3683008712,16,16,752,1152,1728,6256,13232,244960,818.12,160,992,1744,3376,37232,137664,3.84421e+06,1264.03,5,100,1.10917e+06,7.00388e+07,1,0,0,64,200000000
20260920234926,0.5,0.5,0,0,0,./datasets/osm,alexol,15493510,175000000,4002283408,16,32,784,1184,1856,5872,9968,198704,844.937,96,1056,1872,3408,22944,107440,879984,1269.01,5,100,555704,8.45981e+06,1,0,0,64,200000000
20260920234930,0.5,0.5,0,0,0,./datasets/osm,alexol,15184016,200000000,4888324608,16,32,784,1200,1840,5936,9920,477392,852.101,160,1024,1840,3488,48080,148416,6.82352e+06,1346.04,5,100,1.50181e+06,2.00434e+08,1,0,0,64,200000000
20260920235032,0.5,0.5,0,0,0,./datasets/osm,sali,17782733,75000000,21564963328,16,16,512,1168,3024,8944,17344,379488,647.174,80,704,1552,5824,13120,106816,1.45181e+06,1026.12,5,100,1.27623e+06,1.88615e+07,1,0,0,64,200000000
20260920235050,0.5,0.5,0,0,0,./datasets/osm,sali,14240078,100000000,25203064448,16,16,608,1568,5616,14848,33808,534320,815.894,48,800,2032,6832,16736,172656,479360,1222.01,5,100,4.8054e+06,1.28246e+07,1,0,0,64,200000000
20260920235108,0.5,0.5,0,0,0,./datasets/osm,sali,12654182,125000000,29104798848,16,16,672,1824,3488,9008,22304,1.05928e+06,876.929,80,960,2464,5920,13616,243488,1.48075e+06,1429.79,5,100,9.74579e+06,4.0179e+07,1,0,0,64,200000000
20260920235125,0.5,0.5,0,0,0,./datasets/osm,sali,12801790,150000000,33236508480,16,16,688,1840,4064,6560,23200,1.04482e+06,890.609,112,928,2240,5408,16304,278080,1.43629e+06,1392.95,5,100,1.29127e+07,4.93723e+07,1,0,0,64,200000000
