timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260919194931,0.5,0.5,0,0,0,./datasets/osm,alex,1152429,75000000,1719961808,1,0,752,1152,1600,3936,8896,53648,798.799,112,976,1536,3696,23088,77440,1.07388e+07,1203.92,5,100,149230,4.59277e+08,1,0,0,64,200000000
20260919195019,0.5,0.5,0,0,0,./datasets/osm,alex,1049799,100000000,2305581056,1,0,832,1232,1744,5216,9808,41456,868.883,112,1072,1712,3248,25680,83840,327840,1271.5,5,100,155837,4.72254e+06,1,0,0,64,200000000
20260919195109,0.5,0.5,0,0,0,./datasets/osm,alex,1005634,125000000,2827050440,1,0,864,1280,1856,5472,9312,44928,906.807,96,1120,1808,3264,25664,106992,325872,1326.6,5,100,171831,5.20343e+06,1,0,0,64,200000000
20260919195205,0.5,0.5,0,0,0,./datasets/osm,alex,901764,150000000,3676046064,1,0,912,1344,2224,5744,9616,57072,970.254,160,1216,1984,4224,41024,185696,973104,1513.32,5,100,222456,2.5488e+07,1,0,0,64,200000000
20260919195301,0.5,0.5,0,0,0,./datasets/osm,alex,907376,175000000,3991117432,1,16,944,1376,1936,5856,9744,74048,985.754,192,1264,2048,3200,20816,136112,7.32504e+06,1498.65,5,100,183825,2.20505e+08,1,0,0,64,200000000
20260919195400,0.5,0.5,0,0,0,./datasets/osm,alex,849474,200000000,4878926416,1,0,960,1408,2272,6080,11728,53536,1020.44,128,1280,2096,4128,43200,197344,638128,1585.05,5,100,240086,1.91481e+07,1,0,0,64,200000000
20260919195537,0.5,0.5,0,0,0,./datasets/osm,lipp,1221384,75000000,10815268792,1,0,752,1792,3232,6384,10192,34592,918.275,0,720,1888,4464,7680,11104,67360,924.675,5,100,564759,797183,1,0,0,64,200000000
20260919195637,0.5,0.5,0,0,0,./datasets/osm,lipp,981619,100000000,13387222002,1,0,912,2016,3408,6944,12432,65488,1085.08,0,816,2096,5360,57920,204080,514304,1306.01,5,100,693124,2.27086e+07,1,0,0,64,200000000
20260919195743,0.5,0.5,0,0,0,./datasets/osm,lipp,928159,125000000,16091698606,1,0,944,2112,3488,6736,11392,46528,1139.77,0,848,2144,6304,60048,230704,619568,1400.45,5,100,656898,3.05696e+07,1,0,0,64,200000000
20260919195849,0.5,0.5,0,0,0,./datasets/osm,lipp,943236,150000000,18070775304,1,0,960,2304,4272,7344,11328,56480,1206.73,0,880,2336,5632,27392,41824,8.79346e+06,1323.09,5,100,869478,3.0971e+08,1,0,0,64,200000000
20260919200004,0.5,0.5,0,0,0,./datasets/osm,lipp,860037,175000000,20223851226,1,0,1072,2480,4656,7440,11744,84256,1313.83,0,928,2464,5872,35648,106592,303344,1420.99,5,100,994786,8.50926e+06,1,0,0,64,200000000
20260919200132,0.5,0.5,0,0,0,./datasets/osm,lipp,739274,200000000,23450981604,1,0,1152,2544,4720,7536,12592,59616,1391.45,0,960,2496,6832,117824,452304,1.10774e+06,1785.97,5,100,954593,1.11052e+08,1,0,0,64,200000000
20260919200252,0.5,0.5,0,0,0,./datasets/osm,artunsync,1425931,75000000,3928438416,1,16,768,1104,2288,5360,8768,3.09597e+06,827.81,16,592,928,3808,5936,9952,233184,677.778,5,100,3.81948e+07,671776,1,0,0,64,200000000
20260919200332,0.5,0.5,0,0,0,./datasets/osm,artunsync,1345753,100000000,5203687208,1,16,816,1184,2128,4512,8688,48496,871.921,32,624,960,3760,5744,9584,56064,707.333,5,100,151084,290655,1,0,0,64,200000000
20260919200414,0.5,0.5,0,0,0,./datasets/osm,artunsync,1280154,125000000,6470010124,1,16,896,1248,2048,5088,8624,53136,922.921,32,640,992,3856,5824,10240,293552,736.38,5,100,160748,633572,1,0,0,64,200000000
20260919200501,0.5,0.5,0,0,0,./datasets/osm,artunsync,1191929,150000000,7728116128,1,16,928,1312,2560,4400,8176,30336,989.083,32,672,1056,3856,5984,10480,9.28845e+06,814.798,5,100,162473,3.41732e+08,1,0,0,64,200000000
20260919200548,0.5,0.5,0,0,0,./datasets/osm,artunsync,1179202,175000000,8978712600,1,16,960,1312,2240,4720,8608,34336,1004.68,32,704,1072,3888,5840,10272,82496,784.218,5,100,144048,324721,1,0,0,64,200000000
20260919200639,0.5,0.5,0,0,0,./datasets/osm,artunsync,1105694,200000000,10219960820,1,16,976,1408,2768,4960,8864,6.78515e+06,1099.99,32,720,1120,3888,6288,9776,27024,822.23,5,100,1.82646e+08,334948,1,0,0,64,200000000
20260919200807,0.5,0.5,0,0,0,./datasets/osm,btree,1020239,75000000,0,1,160,880,1184,2288,4848,9664,61520,916.279,160,976,1328,4240,7728,12592,217920,1078.81,5,100,146043,1.00502e+06,1,0,0,64,200000000
20260919200859,0.5,0.5,0,0,0,./datasets/osm,btree,966336,100000000,0,1,144,928,1248,2192,5120,10336,37680,968.511,192,1072,1424,2912,7696,12704,306432,1140.31,5,100,134472,850358,1,0,0,64,200000000
20260919200954,0.5,0.5,0,0,0,./datasets/osm,btree,920296,125000000,0,1,144,976,1312,2416,5744,10384,58272,1023.31,208,1120,1472,3264,7648,13120,221312,1192.91,5,100,179599,697406,1,0,0,64,200000000
20260919201053,0.5,0.5,0,0,0,./datasets/osm,btree,857227,150000000,0,1,160,1072,1408,2432,6080,12416,581136,1105.71,192,1184,1568,3520,8512,16624,222816,1273.34,5,100,1.5412e+06,660661,1,0,0,64,200000000
20260919201153,0.5,0.5,0,0,0,./datasets/osm,btree,834685,175000000,0,1,144,1088,1440,2400,4704,10272,57312,1131.81,192,1232,1616,3168,7776,12800,297376,1298.18,5,100,167752,708912,1,0,0,64,200000000
20260919201258,0.5,0.5,0,0,0,./datasets/osm,btree,777096,200000000,0,1,176,1168,1552,2752,6192,11088,85104,1224.02,240,1296,1712,3408,8048,12528,143040,1387.62,5,100,234138,443756,1,0,0,64,200000000
