timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260920211937,0.5,0.5,0,0,0,./datasets/planet,alexol,31159484,75000000,1682192624,32,32,624,1008,1536,3616,20064,3.97869e+06,724.736,128,896,1520,2816,33872,205936,8.12882e+06,1225.4,5,100,7.3108e+07,4.23937e+08,1,0,0,64,200000000
20260920211939,0.5,0.5,0,0,0,./datasets/planet,alexol,27876609,100000000,2253433344,32,16,672,1072,1744,8016,44560,4.83819e+06,827.485,128,944,1680,3600,32288,212000,7.01374e+06,1370.67,5,100,2.23426e+08,6.30343e+08,1,0,0,64,200000000
20260920211941,0.5,0.5,0,0,0,./datasets/planet,alexol,28513737,125000000,2792672792,32,64,704,1120,1840,7840,37696,3.85982e+06,821.771,160,992,1792,3568,32640,346448,3.14845e+06,1404.7,5,100,1.12301e+08,3.69571e+08,1,0,0,64,200000000
20260920211944,0.5,0.5,0,0,0,./datasets/planet,alexol,26555359,150000000,3672753328,32,96,736,1184,1904,7680,102736,3.01451e+06,887.485,192,1088,2016,4032,44880,299552,3.01634e+06,1465.1,5,100,1.16913e+08,9.23987e+07,1,0,0,64,200000000
20260920211946,0.5,0.5,0,0,0,./datasets/planet,alexol,27199054,175000000,3884582912,32,16,768,1216,1824,4992,13744,3.01613e+06,882.572,128,1152,2144,3728,15760,194016,4.34611e+06,1439.5,5,100,1.04629e+08,1.46602e+08,1,0,0,64,200000000
20260920211948,0.5,0.5,0,0,0,./datasets/planet,alexol,25374258,200000000,4878971888,32,96,784,1248,2016,8224,82576,2.65728e+06,908.103,144,1136,2160,4176,56288,346928,1.8444e+06,1563.38,5,100,5.92057e+07,8.24732e+07,1,0,0,64,200000000
20260920212045,0.5,0.5,0,0,0,./datasets/planet,sali,27364359,75000000,18307358144,32,16,480,1056,4064,16032,39136,3.01445e+06,731.757,80,912,1728,10160,24528,114592,3.01523e+06,1347.87,5,100,6.60087e+07,6.95501e+07,1,0,0,64,200000000
20260920212100,0.5,0.5,0,0,0,./datasets/planet,sali,28066225,100000000,22104620032,32,16,592,1264,2784,9520,35344,1.76678e+06,774.059,80,960,1760,7360,14320,49552,7.35897e+07,1571.7,5,100,3.20351e+07,2.16129e+10,1,0,0,64,200000000
20260920212114,0.5,0.5,0,0,0,./datasets/planet,sali,23258355,125000000,25714563264,32,16,752,1600,5328,18864,38800,1.07165e+07,1041.14,80,1088,2080,10032,22464,50016,3.03286e+06,1513.45,5,100,5.65287e+08,8.39944e+07,1,0,0,64,200000000
20260920212131,0.5,0.5,0,0,0,./datasets/planet,sali,23496347,150000000,29262178048,32,16,848,1792,4160,9392,18496,3.0143e+06,1045.14,128,1152,2160,8016,15200,28608,2.43371e+06,1491.99,5,100,4.6602e+07,2.66621e+07,1,0,0,64,200000000
