timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260920164310,0.5,0.5,0,0,0,./datasets/planet,alex,2043971,75000000,1675679160,1,0,400,656,944,1232,7056,43648,431.099,80,544,912,1472,16128,54704,248416,676.274,5,100,53067,2.01585e+06,1,0,0,64,200000000
20260920164337,0.5,0.5,0,0,0,./datasets/planet,alex,1856213,100000000,2248431376,1,0,448,704,1008,1312,8000,122000,473.189,80,608,1040,1632,18864,100528,587168,760.027,5,100,135308,7.44255e+06,1,0,0,64,200000000
20260920164459,0.5,0.5,0,0,0,./datasets/planet,alex,1677213,125000000,3110868088,1,0,480,752,1072,1376,7920,29872,510.519,112,656,1088,1728,23552,111024,486160,815.488,5,100,58676.6,6.93868e+06,1,0,0,64,200000000
20260920164529,0.5,0.5,0,0,0,./datasets/planet,alex,1705390,150000000,3303873496,1,0,496,768,1088,1424,8048,7.06342e+06,553.659,96,688,1152,1728,11168,69808,329936,797.978,5,100,1.97789e+08,2.56189e+06,1,0,0,64,200000000
20260920164723,0.5,0.5,0,0,0,./datasets/planet,alex,1437335,175000000,4574520728,1,0,528,800,1136,1440,8624,39712,558.5,112,720,1216,1920,37344,235392,853232,966.57,5,100,70246.7,2.8332e+07,1,0,0,64,200000000
20260920164753,0.5,0.5,0,0,0,./datasets/planet,alex,1701392,200000000,4656948816,1,0,512,800,1120,1472,8304,55264,544.854,80,688,1136,1664,8384,47552,152144,784.982,5,100,87146.2,1.24869e+06,1,0,0,64,200000000
20260920165115,0.5,0.5,0,0,0,./datasets/planet,lipp,2454793,75000000,9181272428,1,0,16,640,1072,1456,7680,79728,167.589,0,432,832,1696,4336,8656,37168,477.487,5,100,120215,181574,1,0,0,64,200000000
20260920165147,0.5,0.5,0,0,0,./datasets/planet,lipp,1930730,100000000,11098425230,1,0,128,912,1392,1904,8048,312096,348.553,0,544,1104,3056,5888,8912,2.2e+07,751.054,5,100,565803,1.91873e+09,1,0,0,64,200000000
20260920165238,0.5,0.5,0,0,0,./datasets/planet,lipp,2434773,125000000,15710107444,1,0,16,448,1008,1440,7840,14704,120.141,0,448,832,2144,4528,8544,7.80828e+07,761.634,5,100,75219.3,2.41052e+10,1,0,0,64,200000000
20260920165309,0.5,0.5,0,0,0,./datasets/planet,lipp,2088615,150000000,17650514516,1,0,16,800,1264,1760,7968,31904,232.107,0,528,1040,2944,5760,8976,85824,599.796,5,100,150305,323236,1,0,0,64,200000000
20260920165415,0.5,0.5,0,0,0,./datasets/planet,lipp,2298764,175000000,22443809788,1,0,16,432,960,1408,7520,40192,113.01,0,480,832,2752,5712,8480,114000,474.444,5,100,77192.6,308538,1,0,0,64,200000000
20260920165447,0.5,0.5,0,0,0,./datasets/planet,lipp,2089326,200000000,24473965528,1,0,16,768,1216,1680,7808,38000,194.279,0,528,976,2976,6000,8864,71088,575.971,5,100,131601,364992,1,0,0,64,200000000
20260920165715,0.5,0.5,0,0,0,./datasets/planet,dili,2621544,75000000,2238424472,1,0,368,592,896,1232,7632,47296,334.647,16,400,688,2336,4672,8192,56512,474.265,5,100,85341.7,171153,1,0,0,64,200000000
20260920165738,0.5,0.5,0,0,0,./datasets/planet,dili,2278406,100000000,3412312872,1,0,384,704,1072,1472,7616,72144,396.357,16,448,816,2752,5008,8432,254400,559.021,5,100,106124,649166,1,0,0,64,200000000
20260920165830,0.5,0.5,0,0,0,./datasets/planet,dili,2343563,125000000,3399419272,1,0,384,672,1040,1440,7648,180176,363.801,16,448,752,2336,4672,8256,190544,507.972,5,100,215860,288827,1,0,0,64,200000000
20260920165855,0.5,0.5,0,0,0,./datasets/planet,dili,2247664,150000000,4381096152,1,0,416,720,1136,1600,7168,16128,404.055,16,464,816,2608,4864,8272,98656,552.486,5,100,91898.7,207620,1,0,0,64,200000000
