timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260916220446,0.8,0.2,0,0,0,./datasets/planet,alex,2299554,60000000,1569091808,1,0,448,752,1136,1584,8544,47776,496.695,144,624,1056,5952,26736,92560,217504,836.406,1866,100,70241.3,5.04503e+06,1,0,0,64,200000000
20260916220508,0.8,0.2,0,0,0,./datasets/planet,alex,2344434,70000000,1577778120,1,0,464,784,1248,3536,8720,36080,523.741,128,656,1072,1792,7760,23376,298080,743.242,1866,100,91904.6,1.29784e+06,1,0,0,64,200000000
20260916220533,0.8,0.2,0,0,0,./datasets/planet,alex,1980021,80000000,2064682304,1,0,512,848,1280,1808,8624,60176,566,128,720,1248,3248,34880,133776,568560,990.867,1866,100,97390.7,1.41518e+07,1,0,0,64,200000000
20260916220558,0.8,0.2,0,0,0,./datasets/planet,alex,2053556,90000000,2088858704,1,0,528,880,1408,3696,9072,44784,583.068,128,720,1200,2144,8528,27744,78864,826.347,1866,100,121302,543788,1,0,0,64,200000000
20260916220625,0.8,0.2,0,0,0,./datasets/planet,alex,1868614,100000000,2248802872,1,0,560,928,1392,2400,8496,55456,617.157,128,800,1408,2384,18848,100384,337968,973.348,1866,100,101789,5.35422e+06,1,0,0,64,200000000
20260916220655,0.8,0.2,0,0,0,./datasets/planet,alex,1718448,110000000,2756112152,1,0,592,976,1584,3840,9008,60128,649.475,176,800,1392,3200,35312,179504,574048,1073,1866,100,130800,2.00085e+07,1,0,0,64,200000000
20260916220721,0.8,0.2,0,0,0,./datasets/planet,alex,1875528,120000000,2774750216,1,0,592,976,1472,3408,9408,38464,642.896,160,816,1392,2288,8560,29488,186368,928.177,1866,100,108354,861401,1,0,0,64,200000000
20260916220752,0.8,0.2,0,0,0,./datasets/planet,alex,1662850,130000000,2854476112,1,0,624,1024,1664,4000,9248,94624,687.895,96,880,1600,2848,12416,65360,276176,1060.76,1866,100,196419,3.26725e+06,1,0,0,64,200000000
20260916220826,0.8,0.2,0,0,0,./datasets/planet,alex,1488018,140000000,3556305160,1,0,656,1056,1632,3824,9408,98688,718.197,176,928,1680,3456,54976,302928,636864,1299.58,1866,100,160061,3.80758e+07,1,0,0,64,200000000
20260916220858,0.8,0.2,0,0,0,./datasets/planet,alex,1568290,150000000,3669085704,1,0,640,1056,1808,4128,9200,6.86701e+06,736.782,208,880,1536,2752,15104,64976,192720,1048.99,1866,100,1.1698e+08,2.17292e+06,1,0,0,64,200000000
