timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260921114529,0.5,0.5,0,0,0,./datasets/planet,alex,2282112,45000000,1118918200,1,0,336,576,848,1120,8112,77296,374.04,80,480,816,1568,15760,60496,335392,617.577,1866,100,70519.9,2.44224e+06,1,0,0,64,200000000
20260921114554,0.5,0.5,0,0,0,./datasets/planet,alex,2000138,70000000,1575407128,1,0,400,656,976,1280,7632,289184,432.897,96,560,976,1632,15696,70880,314384,696.654,1866,100,398450,3.53686e+06,1,0,0,64,200000000
20260921114623,0.5,0.5,0,0,0,./datasets/planet,alex,1736900,95000000,2189976752,1,16,432,720,1056,1520,8464,61920,476.148,112,624,1120,1936,22016,127952,447600,799.336,1866,100,112673,9.81213e+06,1,0,0,64,200000000
20260921114653,0.5,0.5,0,0,0,./datasets/planet,alex,1677696,120000000,2700186264,1,16,464,752,1088,1424,7952,71120,492.766,112,640,1168,1936,22576,119040,798368,822.019,1866,100,91733.4,1.02378e+07,1,0,0,64,200000000
20260921114727,0.5,0.5,0,0,0,./datasets/planet,alex,1490400,145000000,3476686384,1,0,480,784,1120,1520,9056,54288,521.857,128,688,1232,2112,41392,333488,2.19595e+06,971.374,1866,100,111836,7.50604e+07,1,0,0,64,200000000
20260921114801,0.5,0.5,0,0,0,./datasets/planet,alex,1466594,170000000,3991796032,1,16,512,800,1136,1632,9072,65424,539.321,160,720,1296,2208,20080,188784,1.03875e+06,937.634,1866,100,107196,3.00621e+07,1,0,0,64,200000000
20260921114835,0.5,0.5,0,0,0,./datasets/planet,alex,1478316,195000000,4634879408,1,16,512,800,1136,1504,8160,56112,538.064,112,704,1232,1968,24208,438336,2.05286e+06,960.159,1866,100,73442.1,7.46765e+07,1,0,0,64,200000000
20260921114955,0.5,0.5,0,0,0,./datasets/planet,lipp,2666589,45000000,5099788672,1,0,32,672,1056,1456,7936,36464,231.929,0,432,848,1456,3536,8208,23264,492.854,1866,100,117059,138123,1,0,0,64,200000000
20260921115027,0.5,0.5,0,0,0,./datasets/planet,lipp,1832153,70000000,7262572854,1,0,464,1040,1504,2048,8336,295072,503.206,0,640,1184,3088,6160,9392,315776,723.998,1866,100,553208,1.0068e+06,1,0,0,64,200000000
20260921115106,0.5,0.5,0,0,0,./datasets/planet,lipp,1593839,95000000,9473591658,1,0,672,1232,1728,2400,8816,50864,636.983,0,704,1344,3248,6544,12224,79264,811.823,1866,100,259362,482086,1,0,0,64,200000000
20260921115149,0.5,0.5,0,0,0,./datasets/planet,lipp,1442306,120000000,11783170492,1,0,736,1328,1856,2544,9664,2.86199e+07,844.944,0,752,1424,3440,12256,17600,68096,888.011,1866,100,3.29066e+09,772153,1,0,0,64,200000000
20260921115237,0.5,0.5,0,0,0,./datasets/planet,lipp,1373448,145000000,14062741398,1,0,752,1376,1936,5504,9424,57920,744.725,0,768,1456,3984,14208,18944,72928,936.55,1866,100,328401,1.26932e+06,1,0,0,64,200000000
20260921115325,0.5,0.5,0,0,0,./datasets/planet,lipp,1371285,170000000,16162286628,1,0,752,1408,1984,2752,9264,29536,735.948,0,768,1472,3888,14896,19328,70560,935.208,1866,100,325420,1.37883e+06,1,0,0,64,200000000
20260921115415,0.5,0.5,0,0,0,./datasets/planet,lipp,1364535,195000000,18105350554,1,0,736,1424,2016,6784,9776,2.35786e+07,817.163,0,736,1472,4000,16416,22528,83648,929.648,1866,100,2.19659e+09,1.63397e+06,1,0,0,64,200000000
20260921115533,0.5,0.5,0,0,0,./datasets/planet,dili,2647312,45000000,1622843592,1,0,352,592,880,1184,7408,2.86699e+07,441.47,16,400,688,2000,4176,7728,39232,475.812,1866,100,3.2525e+09,139218,1,0,0,64,200000000
20260921115558,0.5,0.5,0,0,0,./datasets/planet,dili,2117480,70000000,2747435192,1,0,384,736,1072,1456,7888,29520,404.996,16,528,896,2832,5056,8336,33376,601.931,1866,100,103279,214504,1,0,0,64,200000000
20260921115627,0.5,0.5,0,0,0,./datasets/planet,dili,1835609,95000000,3719294792,1,0,480,832,1216,1712,8096,31360,466.255,16,608,1040,2976,5840,9168,68992,693.553,1866,100,129008,294178,1,0,0,64,200000000
20260921115700,0.5,0.5,0,0,0,./datasets/planet,dili,1659236,120000000,4647675512,1,0,560,928,1328,1936,8352,76560,520.783,16,672,1168,3104,6048,8848,77728,765.431,1866,100,172743,302627,1,0,0,64,200000000
20260921115735,0.5,0.5,0,0,0,./datasets/planet,dili,1543568,145000000,5565869992,1,0,608,976,1424,2064,8112,17104,561.317,16,720,1264,3216,6240,9328,2.86162e+07,932.167,1866,100,157884,3.23911e+09,1,0,0,64,200000000
20260921115814,0.5,0.5,0,0,0,./datasets/planet,dili,1452324,170000000,6486196232,1,0,656,1040,1504,5504,8960,33024,601.714,16,752,1344,3344,7104,11184,64032,869.388,1866,100,198448,413151,1,0,0,64,200000000
20260921115854,0.5,0.5,0,0,0,./datasets/planet,dili,1399682,195000000,7411280152,1,0,672,1072,1568,2304,8320,38544,627.703,16,768,1392,3328,6192,9264,1.64512e+07,963.888,1866,100,187864,1.07453e+09,1,0,0,64,200000000
