timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260917022520,0.2,0.8,0,0,0,./datasets/planet,alex,1358851,90000000,2088936008,1,0,512,848,1296,3520,8816,43296,561.541,96,688,1168,2192,19520,89152,392000,846.959,5,100,110903,4.16239e+06,1,0,0,64,200000000
20260917022605,0.2,0.8,0,0,0,./datasets/planet,alex,1129665,130000000,2854493208,1,0,624,992,1472,3632,8480,86880,669.801,80,848,1456,2496,18304,117232,698576,1021.45,5,100,176793,7.90247e+06,1,0,0,64,200000000
20260917022655,0.2,0.8,0,0,0,./datasets/planet,alex,996418,170000000,3759497856,1,16,688,1072,1664,4400,8144,12064,742.252,112,944,1648,2976,19632,117856,1.40664e+06,1147.55,5,100,125627,1.21551e+07,1,0,0,64,200000000
20260917022847,0.2,0.8,0,0,0,./datasets/planet,lipp,1131540,90000000,10347861602,1,0,32,1440,3040,5712,9280,14688,434.748,0,784,1728,4240,6976,10544,285376,924.151,5,100,567708,935625,1,0,0,64,200000000
20260917022954,0.2,0.8,0,0,0,./datasets/planet,lipp,926767,130000000,13301962422,1,0,448,1904,3488,6272,10752,67216,763.363,0,976,2080,4800,7664,10784,95856,1161.04,5,100,861268,936284,1,0,0,64,200000000
20260917023115,0.2,0.8,0,0,0,./datasets/planet,lipp,818786,170000000,16204535276,1,0,864,2192,4384,6944,12000,18752,995.112,0,1104,2304,5136,8016,11632,256800,1281.34,5,100,1.02306e+06,1.29094e+06,1,0,0,64,200000000
20260917023242,0.2,0.8,0,0,0,./datasets/planet,artunsync,1514189,90000000,4869424544,1,16,720,1072,2576,5200,7840,12928,759.92,32,528,864,3696,5696,9616,195264,603.259,5,100,220793,408864,1,0,0,64,200000000
20260917023321,0.2,0.8,0,0,0,./datasets/planet,artunsync,1393991,130000000,7269681112,1,16,816,1136,2416,4160,8336,22464,846.304,32,592,896,3840,5792,10000,173424,629.053,5,100,165438,452926,1,0,0,64,200000000
20260917023402,0.2,0.8,0,0,0,./datasets/planet,artunsync,1342053,170000000,9551433220,1,16,896,1232,2544,4560,8048,16752,928.412,32,608,896,3872,5872,9104,157280,650.888,5,100,172720,379885,1,0,0,64,200000000
20260917023538,0.2,0.8,0,0,0,./datasets/planet,btree,1036137,90000000,0,1,192,832,1136,1664,3744,9536,23696,867.183,176,944,1280,3952,7200,11584,198640,1009.71,5,100,109562,404762,1,0,0,64,200000000
20260917023633,0.2,0.8,0,0,0,./datasets/planet,btree,922591,130000000,0,1,192,944,1264,1840,5696,9664,48976,985.546,176,1072,1424,2960,7424,11312,1.53074e+06,1137.9,5,100,152774,6.10643e+06,1,0,0,64,200000000
20260917023732,0.2,0.8,0,0,0,./datasets/planet,btree,846536,170000000,0,1,176,1056,1376,1824,5904,10128,40384,1079.35,176,1168,1536,2896,7520,11664,92208,1228.63,5,100,138793,317500,1,0,0,64,200000000
20260917023912,0.2,0.8,0,0,0,./datasets/planet,dili,1345543,90000000,2928913752,1,0,608,1072,2304,5312,9488,96768,608.615,16,672,1168,3680,6112,9648,185152,786.707,5,100,359830,436375,1,0,0,64,200000000
20260917024000,0.2,0.8,0,0,0,./datasets/planet,dili,1094485,130000000,4853708232,1,0,736,1360,2784,5088,8048,10480,769.631,16,800,1520,4224,7152,10736,79168,979.967,5,100,351813,520485,1,0,0,64,200000000
20260917024056,0.2,0.8,0,0,0,./datasets/planet,dili,962466,170000000,6621928312,1,0,832,1520,2832,5104,8336,12288,857.249,16,960,1744,4432,7376,10304,62656,1117.82,5,100,402401,601238,1,0,0,64,200000000
