timestamp,index_type,batch_index,n_keys,snapshot_ns,sort_ns,kv_ns,bulk_load_ns,total_ns
20260920145709,alex,1,100000000,6.44891e+08,8.23767e+09,2.83401e+08,3.1176e+10,4.03419e+10
20260920145846,alex,3,150000000,9.29892e+08,1.35259e+10,4.09259e+08,4.51712e+10,6.00363e+10
20260920150045,alex,5,200000000,1.25804e+09,1.88642e+10,5.26791e+08,5.98085e+10,8.04576e+10
20260920150246,lipp,1,100000000,6.36819e+08,8.33315e+09,2.64233e+08,7.54332e+09,1.67775e+10
20260920150346,lipp,3,150000000,9.62288e+08,1.35754e+10,4.18651e+08,1.02554e+10,2.52117e+10
20260920150455,lipp,5,200000000,1.22855e+09,1.90288e+10,5.27794e+08,1.21732e+10,3.29584e+10
20260920150705,dili,1,100000000,6.4941e+08,8.25274e+09,2.63833e+08,1.48877e+10,2.40537e+10
20260920150814,dili,3,150000000,9.35438e+08,1.3573e+10,3.93463e+08,2.08696e+10,3.57715e+10
20260920150936,dili,5,200000000,1.24646e+09,1.8964e+10,5.24657e+08,2.61506e+10,4.68858e+10
20260920151148,artunsync,1,100000000,6.21477e+08,8.31696e+09,2.64559e+08,9.45227e+09,1.86553e+10
20260920151257,artunsync,3,150000000,9.36496e+08,1.35893e+10,4.081e+08,1.32296e+10,2.81635e+10
20260920151415,artunsync,5,200000000,1.23403e+09,1.89426e+10,5.27455e+08,1.61571e+10,3.68611e+10
20260920151638,btree,1,100000000,6.33558e+08,8.25177e+09,2.62887e+08,2.05469e+09,1.12029e+10
20260920151810,btree,3,150000000,9.62645e+08,1.35487e+10,4.12891e+08,3.07152e+09,1.79957e+10
20260920151956,btree,5,200000000,1.23301e+09,1.89059e+10,5.32082e+08,4.09144e+09,2.47624e+10
