timestamp,index_type,batch_index,n_keys,snapshot_ns,sort_ns,kv_ns,bulk_load_ns,total_ns
20260920164429,alex,1,100000000,6.33918e+08,8.22215e+09,2.63088e+08,4.23328e+10,5.1452e+10
20260920164648,alex,3,150000000,9.44365e+08,1.33603e+10,4.22391e+08,6.28796e+10,7.76066e+10
20260920164940,alex,5,200000000,1.28064e+09,1.87816e+10,5.2487e+08,8.48277e+10,1.05415e+11
20260920165213,lipp,1,100000000,6.30584e+08,8.33916e+09,2.64782e+08,1.27352e+10,2.19697e+10
20260920165348,lipp,3,150000000,9.54883e+08,1.35198e+10,3.92796e+08,1.88336e+10,3.3701e+10
20260920165538,lipp,5,200000000,1.26095e+09,1.90034e+10,5.54234e+08,2.52425e+10,4.6061e+10
20260920165808,dili,1,100000000,6.35056e+08,8.29351e+09,2.63811e+08,1.95331e+10,2.87255e+10
20260920165939,dili,3,150000000,9.3395e+08,1.35901e+10,3.95582e+08,2.84853e+10,4.3405e+10
20260920170130,dili,5,200000000,1.26965e+09,1.88959e+10,5.21984e+08,3.70918e+10,5.77794e+10
20260920170345,artunsync,1,100000000,6.29056e+08,8.17641e+09,2.62781e+08,9.16948e+09,1.82377e+10
20260920170506,artunsync,3,150000000,9.52814e+08,1.35516e+10,3.97823e+08,1.35868e+10,2.8489e+10
20260920170639,artunsync,5,200000000,1.26978e+09,1.87463e+10,5.42081e+08,1.80736e+10,3.86318e+10
20260920170903,btree,1,100000000,6.52842e+08,8.22857e+09,2.62865e+08,2.04848e+09,1.11928e+10
20260920171036,btree,3,150000000,9.67094e+08,1.3513e+10,3.94027e+08,3.0093e+09,1.78835e+10
20260920171222,btree,5,200000000,1.26319e+09,1.88892e+10,5.47102e+08,4.12641e+09,2.48259e+10
