timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260912134102,0.4,0.4,0,0,0.2,./datasets/libio,alex,3405086,60000000,0,1,0,240,416,672,928,7424,38768,267.246,16,336,544,864,17136,74432,6.86746e+06,436.289,5,100,40385.1,1.58703e+08,1,0,0,64,200000000
20260912134115,0.4,0.4,0,0,0.2,./datasets/libio,alex,3878307,70000000,0,1,0,224,400,640,896,7392,16032,252.198,16,336,528,816,1232,9392,45680,359.115,5,100,28783.8,64401,1,0,0,64,200000000
20260912134131,0.4,0.4,0,0,0.2,./datasets/libio,alex,3092724,80000000,0,1,0,256,448,704,992,7456,19712,282.595,16,352,576,960,21440,100304,1.27882e+06,460.349,5,100,33760.5,1.29835e+07,1,0,0,64,200000000
20260912134145,0.4,0.4,0,0,0.2,./datasets/libio,alex,3733568,90000000,0,1,0,224,416,672,944,8064,14080,257.753,16,352,544,864,1344,17120,105456,373.472,5,100,32934.4,260948,1,0,0,64,200000000
20260912134200,0.4,0.4,0,0,0.2,./datasets/libio,alex,3331779,100000000,0,1,0,256,464,720,1008,7536,23264,284.668,16,368,592,1008,5936,53216,212864,416.831,5,100,33986.3,1.55304e+06,1,0,0,64,200000000
20260912134217,0.4,0.4,0,0,0.2,./datasets/libio,alex,3000978,110000000,0,1,0,256,464,720,1040,7776,18928,282.767,16,368,592,1008,18032,186832,913104,477.062,5,100,38374.4,1.69912e+07,1,0,0,64,200000000
20260912134232,0.4,0.4,0,0,0.2,./datasets/libio,alex,3611442,120000000,0,1,0,240,448,704,1008,7504,13312,266.325,16,352,576,960,1488,9552,83344,384.062,5,100,33557,89649.4,1,0,0,64,200000000
20260912134359,0.4,0.4,0,0,0.2,./datasets/libio,btree,1587110,60000000,0,1,144,544,752,976,1248,9696,1.64498e+07,657.187,192,640,880,1312,5904,9616,80560,693.248,5,100,1.33575e+09,196127,1,0,0,64,200000000
20260912134431,0.4,0.4,0,0,0.2,./datasets/libio,btree,1562466,70000000,0,1,144,576,784,1024,1296,8656,30160,601.633,176,656,880,1184,5888,9392,14464,692.874,5,100,51178.3,95671.3,1,0,0,64,200000000
20260912134505,0.4,0.4,0,0,0.2,./datasets/libio,btree,1508521,80000000,0,1,160,592,800,1040,1344,8672,46768,619.457,176,672,912,1232,5920,9440,52384,714.4,5,100,60302.2,122093,1,0,0,64,200000000
20260912134540,0.4,0.4,0,0,0.2,./datasets/libio,btree,1462244,90000000,0,1,160,608,832,1072,1344,9360,57728,640.749,208,688,944,1248,6192,10016,103280,738.83,5,100,71101.3,180229,1,0,0,64,200000000
20260912134615,0.4,0.4,0,0,0.2,./datasets/libio,btree,1411892,100000000,0,1,144,640,848,1120,1392,9296,43088,666.987,208,720,976,1280,6208,9936,2.70752e+07,850.745,5,100,78512.1,2.41587e+09,1,0,0,64,200000000
20260912134652,0.4,0.4,0,0,0.2,./datasets/libio,btree,1391778,110000000,0,1,112,640,864,1136,1424,8816,56640,675.283,192,720,976,1296,6064,9952,65360,770.54,5,100,71184,133661,1,0,0,64,200000000
20260912134728,0.4,0.4,0,0,0.2,./datasets/libio,btree,1374995,120000000,0,1,144,656,880,1136,1424,9312,9.16034e+06,728.805,192,736,992,1312,6112,10544,30288,780.891,5,100,4.16008e+08,127640,1,0,0,64,200000000
20260912134841,0.4,0.4,0,0,0.2,./datasets/libio,lipp,4648378,60000000,0,1,0,48,128,496,928,7568,65328,73.882,0,112,416,944,1952,9632,3.37342e+06,186.624,5,100,46540.2,6.09039e+07,1,0,0,64,200000000
20260912134855,0.4,0.4,0,0,0.2,./datasets/libio,lipp,3824236,70000000,0,1,0,48,128,752,1168,8000,14080,85.318,0,128,512,2320,4688,8208,63696,233.405,5,100,35788.1,162219,1,0,0,64,200000000
20260912134909,0.4,0.4,0,0,0.2,./datasets/libio,lipp,3516564,80000000,0,1,0,32,128,832,1248,7776,21408,87.8794,0,144,560,2416,4896,8208,61088,262.028,5,100,45656.5,195179,1,0,0,64,200000000
20260912134925,0.4,0.4,0,0,0.2,./datasets/libio,lipp,3308445,90000000,0,1,0,32,128,896,1360,8240,54400,93.1537,0,144,576,2400,4880,7888,97040,280.224,5,100,73243.2,212269,1,0,0,64,200000000
20260912134941,0.4,0.4,0,0,0.2,./datasets/libio,lipp,3124515,100000000,0,1,0,16,128,960,1392,7792,40640,95.6614,0,160,592,2400,4960,8176,15296,291.985,5,100,67885.8,171714,1,0,0,64,200000000
20260912134958,0.4,0.4,0,0,0.2,./datasets/libio,lipp,2976475,110000000,0,1,0,16,144,1024,1408,8608,32624,103.774,0,208,624,2416,5104,9344,67232,310.891,5,100,74592.8,239667,1,0,0,64,200000000
20260912135016,0.4,0.4,0,0,0.2,./datasets/libio,lipp,2866999,120000000,0,1,0,16,320,1072,1456,7952,23104,110.418,0,208,640,2400,5056,8240,179904,322.594,5,100,76698.5,352127,1,0,0,64,200000000
