timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260912144911,0.4,0.4,0,0,0.2,./datasets/planet,alex,2206301,60000000,0,1,0,400,640,944,1232,8192,18000,430.156,64,480,800,1280,14912,60192,500320,591.318,72,100,50118.3,3.1356e+06,1,0,0,64,200000000
20260912144933,0.4,0.4,0,0,0.2,./datasets/planet,alex,2366987,70000000,0,1,0,400,656,960,1280,7872,19424,434.652,16,496,800,1216,7328,17184,68368,543.259,72,100,49690.4,203880,1,0,0,64,200000000
20260912144958,0.4,0.4,0,0,0.2,./datasets/planet,alex,1998208,80000000,0,1,0,432,704,1008,1344,8832,27184,469.424,64,528,880,1408,16960,79872,260352,646.321,72,100,65057.4,3.12848e+06,1,0,0,64,200000000
20260912145021,0.4,0.4,0,0,0.2,./datasets/planet,alex,2203416,90000000,0,1,0,432,688,992,1328,8480,41744,459.601,48,528,864,1312,7984,22192,99504,579.153,72,100,67870.6,306317,1,0,0,64,200000000
20260912145047,0.4,0.4,0,0,0.2,./datasets/planet,alex,1979446,100000000,0,1,0,448,720,1024,1376,8480,59680,486.555,48,560,944,1488,11424,43568,2.28144e+07,724.658,72,100,78629.8,1.72297e+09,1,0,0,64,200000000
20260912145113,0.4,0.4,0,0,0.2,./datasets/planet,alex,1905217,110000000,0,1,0,464,736,1056,1408,8528,667952,497.121,96,560,944,1504,17152,84448,665104,680.415,72,100,2.26086e+06,6.49274e+06,1,0,0,64,200000000
20260912145138,0.4,0.4,0,0,0.2,./datasets/planet,alex,2031372,120000000,0,1,0,464,736,1056,1376,8608,47952,490.932,64,560,944,1440,7344,19488,64848,623.264,72,100,74735.2,275131,1,0,0,64,200000000
20260912145306,0.4,0.4,0,0,0.2,./datasets/planet,btree,1594355,60000000,0,1,128,544,752,992,1280,9072,8.9573e+06,618.651,192,640,880,1296,6064,9664,78000,690.401,72,100,3.96239e+08,181804,1,0,0,64,200000000
20260912145338,0.4,0.4,0,0,0.2,./datasets/planet,btree,1567793,70000000,0,1,144,576,784,1024,1296,8576,25760,600.089,208,656,896,1184,5776,9424,91680,691.712,72,100,48073.1,143504,1,0,0,64,200000000
20260912145411,0.4,0.4,0,0,0.2,./datasets/planet,btree,1515935,80000000,0,1,144,592,800,1040,1344,9088,34128,617.535,192,672,912,1216,5904,9632,2.77875e+07,803.441,72,100,57033.3,2.54898e+09,1,0,0,64,200000000
20260912145446,0.4,0.4,0,0,0.2,./datasets/planet,btree,1459666,90000000,0,1,144,608,832,1088,1424,8800,1.97706e+07,740.31,208,688,944,1248,5968,9408,29136,738.708,72,100,1.93474e+09,112465,1,0,0,64,200000000
20260912145521,0.4,0.4,0,0,0.2,./datasets/planet,btree,1411578,100000000,0,1,144,640,864,1120,1424,8912,14176,666.632,208,720,960,1280,6112,9760,64512,760.582,72,100,54605.4,132710,1,0,0,64,200000000
20260912145557,0.4,0.4,0,0,0.2,./datasets/planet,btree,1402326,110000000,0,1,144,640,864,1120,1408,9232,46432,672.465,192,720,976,1280,6144,10016,73888,766.87,72,100,72800.7,135091,1,0,0,64,200000000
20260912145634,0.4,0.4,0,0,0.2,./datasets/planet,btree,1377578,120000000,0,1,128,656,880,1136,1472,8912,36960,682.324,224,736,992,1312,6144,9808,1.96483e+07,842.994,72,100,66530.5,1.27501e+09,1,0,0,64,200000000
20260912145758,0.4,0.4,0,0,0.2,./datasets/planet,lipp,2648492,60000000,0,1,0,16,656,1072,1456,9056,106256,168.646,0,384,768,1264,3616,11760,30512,393.843,72,100,175895,168298,1,0,0,64,200000000
20260912145821,0.4,0.4,0,0,0.2,./datasets/planet,lipp,2144132,70000000,0,1,0,112,880,1344,1792,8432,54864,332.766,0,464,992,2736,5440,9344,116912,558.969,72,100,197429,343312,1,0,0,64,200000000
20260912145848,0.4,0.4,0,0,0.2,./datasets/planet,lipp,1933616,80000000,0,1,0,368,1040,1504,2000,8304,24960,429.793,0,528,1104,2816,5696,9456,32256,635.245,72,100,214185,277354,1,0,0,64,200000000
20260912145916,0.4,0.4,0,0,0.2,./datasets/planet,lipp,1750095,90000000,0,1,0,432,1152,1760,4656,8896,5.91619e+06,546.139,0,576,1232,3728,6480,10400,87408,708.86,72,100,1.73538e+08,425102,1,0,0,64,200000000
20260912145948,0.4,0.4,0,0,0.2,./datasets/planet,lipp,1595208,100000000,0,1,0,512,1344,2080,5536,9280,53280,609.341,0,640,1376,3776,7040,10720,4.46883e+06,785.56,72,100,382515,6.64839e+07,1,0,0,64,200000000
20260912150023,0.4,0.4,0,0,0.2,./datasets/planet,lipp,1457979,110000000,0,1,0,640,1456,2848,5968,8960,29312,691.309,0,688,1488,3968,6928,10672,5.91096e+06,868.213,72,100,482314,2.22018e+08,1,0,0,64,200000000
