timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260911084441,0.4,0.4,0.2,0,0,./datasets/planet,lipp,2613575,70000000,8773703656,1,0,16,480,1024,1440,7840,21520,148.438,0,352,736,1264,3488,8704,46304,339.919,1866,100,87146.7,154838,1,0,0,64,200000000
20260911084511,0.4,0.4,0.2,0,0,./datasets/planet,lipp,2063665,90000000,10348759354,1,0,32,832,1344,1888,8384,40208,293.744,0,432,976,2816,5056,9072,65744,497.692,1866,100,180222,320259,1,0,0,64,200000000
20260911084544,0.4,0.4,0.2,0,0,./datasets/planet,lipp,1877747,110000000,11839141372,1,0,272,1008,1488,2048,8992,16720,390.652,0,464,1072,2864,5472,9200,74304,558.608,1866,100,206335,364510,1,0,0,64,200000000
20260911084621,0.4,0.4,0.2,0,0,./datasets/planet,lipp,1727881,130000000,13303111742,1,0,384,1120,1616,2208,9232,32592,469.109,0,512,1168,2944,5760,9760,65024,609.462,1866,100,254273,356962,1,0,0,64,200000000
20260911084701,0.4,0.4,0.2,0,0,./datasets/planet,lipp,1640993,150000000,14757459258,1,0,432,1168,1712,2304,8768,35632,524.075,0,544,1232,2960,5680,9376,293888,642.509,1866,100,266040,672308,1,0,0,64,200000000
20260911084744,0.4,0.4,0.2,0,0,./datasets/planet,lipp,1575286,170000000,16205857324,1,0,480,1216,1760,2368,9456,1.58183e+07,644.708,0,576,1280,2976,5680,10096,1.47436e+07,766.288,1866,100,1.24146e+09,1.30889e+09,1,0,0,64,200000000
20260911084830,0.4,0.4,0.2,0,0,./datasets/planet,lipp,1511262,190000000,17650223550,1,0,560,1280,1824,2528,10032,56784,613.923,0,624,1344,3008,6144,9824,1.48065e+07,762.56,1866,100,325557,7.24478e+08,1,0,0,64,200000000
20260911084954,0.4,0.4,0.2,0,0,./datasets/planet,artunsync,2311757,70000000,3634946268,1,16,464,656,896,1168,7808,33328,489.289,16,368,560,1776,3984,7600,59696,427.055,1866,100,48783.2,115443,1,0,0,64,200000000
20260911085018,0.4,0.4,0.2,0,0,./datasets/planet,artunsync,2189953,90000000,4869928968,1,16,496,688,944,1232,7408,14848,516.392,32,384,592,1984,4288,7968,38288,444.281,1866,100,37951.8,131379,1,0,0,64,200000000
20260911085043,0.4,0.4,0.2,0,0,./datasets/planet,artunsync,2135925,110000000,6097979164,1,16,512,704,960,1248,7728,36576,534.21,32,400,592,2096,4368,8208,25200,453.944,1866,100,44266.5,132041,1,0,0,64,200000000
20260911085110,0.4,0.4,0.2,0,0,./datasets/planet,artunsync,2058062,130000000,7270862868,1,16,528,752,992,1312,8464,28928,559.906,32,400,608,2000,4400,9712,1.48328e+07,515.757,1866,100,57221.2,7.26785e+08,1,0,0,64,200000000
20260911085137,0.4,0.4,0.2,0,0,./datasets/planet,artunsync,2039548,150000000,8431075928,1,16,544,752,1008,1312,8368,42272,571.99,32,416,608,2048,4400,8720,78048,471.218,1866,100,68498.2,152495,1,0,0,64,200000000
20260911085204,0.4,0.4,0.2,0,0,./datasets/planet,artunsync,2022745,170000000,9552729204,1,16,560,768,1024,1328,7552,29088,580.749,32,416,624,2112,4496,7968,73072,472.932,1866,100,48456,160971,1,0,0,64,200000000
20260911085232,0.4,0.4,0.2,0,0,./datasets/planet,artunsync,2028664,190000000,10632945804,1,16,560,768,1024,1360,7600,1.27734e+07,642.252,32,416,608,2096,4448,8240,69808,467.496,1866,100,8.06484e+08,175706,1,0,0,64,200000000
20260911085401,0.4,0.4,0.2,0,0,./datasets/planet,dili,2360737,70000000,2234211432,1,0,368,608,928,1280,8016,24656,336.884,16,432,720,1968,3936,7952,23072,501.321,1866,100,77986.1,121281,1,0,0,64,200000000
20260911085426,0.4,0.4,0.2,0,0,./datasets/planet,dili,2108232,90000000,3213687832,1,0,384,688,1040,1472,7760,29120,385.755,16,480,816,2512,4592,8080,66528,562.387,1866,100,91206.1,162696,1,0,0,64,200000000
20260911085454,0.4,0.4,0.2,0,0,./datasets/planet,dili,1906338,110000000,4180097112,1,0,416,768,1152,1648,8400,53776,430.176,16,544,912,2656,5264,8528,70416,620.178,1866,100,122361,208006,1,0,0,64,200000000
20260911085525,0.4,0.4,0.2,0,0,./datasets/planet,dili,1775630,130000000,5100465352,1,0,448,832,1248,1776,7984,43504,459.523,16,592,992,2736,5184,8720,65024,663.811,1866,100,127615,214598,1,0,0,64,200000000
20260911085558,0.4,0.4,0.2,0,0,./datasets/planet,dili,1662107,150000000,5974826232,1,0,480,896,1344,1920,8528,36224,491.079,16,640,1056,2784,5392,9488,72992,708.95,1866,100,144675,258853,1,0,0,64,200000000
20260911085632,0.4,0.4,0.2,0,0,./datasets/planet,dili,1575725,170000000,6810754072,1,0,512,928,1392,2064,8576,1.52566e+07,589.176,16,672,1104,2848,5552,8864,237968,745.352,1866,100,1.15475e+09,440369,1,0,0,64,200000000
20260911085709,0.4,0.4,0.2,0,0,./datasets/planet,dili,1519647,190000000,7617281672,1,0,528,960,1440,2048,8816,44480,529.819,16,704,1152,2880,5776,9216,186752,773.752,1866,100,177540,356787,1,0,0,64,200000000
