timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260911122725,0.3,0.4,0.2,0,0.1,./datasets/planet,lipp,2311941,65000000,0,1,0,16,672,1088,1440,7824,39664,172.447,0,384,768,1264,3328,8448,54976,366.198,72,100,112931,157859,1,0,0,64,200000000
20260911122752,0.3,0.4,0.2,0,0.1,./datasets/planet,lipp,1869478,80000000,0,1,0,32,912,1376,1872,9168,945792,337.3,0,448,992,2672,5360,8784,67632,515.936,72,100,6.11695e+06,279440,1,0,0,64,200000000
20260911122822,0.3,0.4,0.2,0,0.1,./datasets/planet,lipp,1695050,95000000,0,1,0,352,1056,1504,2048,8208,19872,431.154,0,496,1104,2704,5328,8864,231856,583.007,72,100,224541,540824,1,0,0,64,200000000
20260911122853,0.3,0.4,0.2,0,0.1,./datasets/planet,lipp,1585729,110000000,0,1,0,432,1136,1632,2208,9152,53424,504.104,0,528,1184,2736,5472,9312,65264,631.613,72,100,293826,333890,1,0,0,64,200000000
20260911122927,0.3,0.4,0.2,0,0.1,./datasets/planet,lipp,1508003,125000000,0,1,0,512,1200,1712,2272,7776,12080,557.752,0,576,1248,2768,5616,9152,294928,669.51,72,100,264205,617178,1,0,0,64,200000000
20260911123002,0.3,0.4,0.2,0,0.1,./datasets/planet,lipp,1442584,140000000,0,1,0,656,1264,1792,2480,9504,14448,609.718,0,624,1312,2768,5840,9856,58800,705.025,72,100,293844,344648,1,0,0,64,200000000
20260911123038,0.3,0.4,0.2,0,0.1,./datasets/planet,lipp,1394354,155000000,0,1,0,704,1312,1840,2432,9168,580608,647.837,0,656,1344,2768,5760,9072,66400,731.021,72,100,2.56077e+06,357169,1,0,0,64,200000000
20260911123551,0.3,0.4,0.2,0,0.1,./datasets/planet,dili,2348315,65000000,0,1,0,368,592,912,1248,8048,67088,330.708,16,432,720,1696,4080,8784,208688,495.931,72,100,104549,246894,1,0,0,64,200000000
20260911123615,0.3,0.4,0.2,0,0.1,./datasets/planet,dili,2136937,80000000,0,1,0,384,688,1040,1472,7824,24576,377.009,16,480,800,1936,4288,8512,49040,547.971,72,100,92881.8,145127,1,0,0,64,200000000
20260911123641,0.3,0.4,0.2,0,0.1,./datasets/planet,dili,1957681,95000000,0,1,0,400,736,1136,1600,8384,26176,407.846,16,528,880,2080,4368,8240,21648,595.586,72,100,102750,146852,1,0,0,64,200000000
20260911123709,0.3,0.4,0.2,0,0.1,./datasets/planet,dili,1832147,110000000,0,1,0,432,800,1216,1680,8224,14880,440.702,16,576,944,2208,4880,8672,2.1559e+07,694.574,72,100,110882,1.3134e+09,1,0,0,64,200000000
20260911123738,0.3,0.4,0.2,0,0.1,./datasets/planet,dili,1735064,125000000,0,1,0,448,848,1296,1792,7664,20688,466.464,16,608,1008,2384,5104,9008,63328,667.673,72,100,122256,197985,1,0,0,64,200000000
20260911123809,0.3,0.4,0.2,0,0.1,./datasets/planet,dili,1635169,140000000,0,1,0,480,912,1360,1984,8256,14816,494.011,16,640,1056,2528,5472,8832,65024,707.983,72,100,138666,247008,1,0,0,64,200000000
20260911123841,0.3,0.4,0.2,0,0.1,./datasets/planet,dili,1574847,155000000,0,1,0,512,944,1424,2080,8640,7.16776e+06,576.64,16,672,1104,2528,5344,9440,65632,733.181,72,100,3.73076e+08,242017,1,0,0,64,200000000
