timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260919213330,0.5,0.5,0,0,0,./datasets/uniform,alex,2963302,75000000,1535771416,1,0,240,384,592,1952,7088,19792,221.129,48,448,608,848,3216,8208,8.31824e+06,502.686,72,100,37145.1,3.00566e+08,1,0,0,64,200000000
20260919213349,0.5,0.5,0,0,0,./datasets/uniform,alex,2732820,100000000,2047676152,1,0,240,384,608,2048,7248,15568,224.1,32,448,624,896,3264,7808,7.77053e+06,571.03,72,100,44454.9,5.63148e+08,1,0,0,64,200000000
20260919213409,0.5,0.5,0,0,0,./datasets/uniform,alex,2475189,125000000,2730230936,1,0,240,384,624,3280,7296,26368,222.805,32,464,624,912,3424,8752,3.65207e+07,816.549,72,100,53355.2,9.30847e+09,1,0,0,64,200000000
20260919213431,0.5,0.5,0,0,0,./datasets/uniform,alex,2395459,150000000,3640285032,1,0,240,400,752,3328,7520,20224,241.691,32,464,656,1056,3760,8864,150368,510.673,72,100,72148.7,167447,1,0,0,64,200000000
20260919213449,0.5,0.5,0,0,0,./datasets/uniform,alex,2835269,175000000,3640285064,1,0,240,400,624,1808,7088,68208,234.26,48,464,656,928,3168,8688,30192,507.463,72,100,60790.2,61925.8,1,0,0,64,200000000
20260919213514,0.5,0.5,0,0,0,./datasets/uniform,alex,2023555,200000000,4853734208,1,0,240,416,736,3280,6976,29104,245.083,32,480,688,1072,3680,8800,2.70958e+07,935.125,72,100,63527.1,1.04433e+10,1,0,0,64,200000000
20260919213641,0.5,0.5,0,0,0,./datasets/uniform,lipp,2490046,75000000,6281205830,1,0,64,528,2192,3456,8336,43312,216.153,0,208,864,3328,5344,9360,176800,364.839,72,100,215628,433016,1,0,0,64,200000000
20260919213714,0.5,0.5,0,0,0,./datasets/uniform,lipp,1946735,100000000,8667538474,1,0,64,768,2720,4992,8528,6.53406e+06,303.815,0,288,1072,3760,6720,9568,84320,507.933,72,100,1.69482e+08,618730,1,0,0,64,200000000
20260919213755,0.5,0.5,0,0,0,./datasets/uniform,lipp,1713643,125000000,11224813224,1,0,32,944,2816,5536,8992,36080,294.487,0,304,1168,4000,6784,9344,87360,602.398,72,100,412199,707597,1,0,0,64,200000000
20260919213842,0.5,0.5,0,0,0,./datasets/uniform,lipp,1601541,150000000,13862740368,1,0,32,1280,2784,5248,9376,35424,320.353,0,368,1200,4192,7024,10080,294848,654.636,72,100,441657,1.10924e+06,1,0,0,64,200000000
20260919213939,0.5,0.5,0,0,0,./datasets/uniform,lipp,1396266,175000000,16527891246,1,0,32,1568,3984,6080,10368,310208,417.853,0,448,1376,4272,7088,10160,246224,762.75,72,100,1.1015e+06,988838,1,0,0,64,200000000
20260919214043,0.5,0.5,0,0,0,./datasets/uniform,lipp,1375591,200000000,19190876366,1,0,32,1568,3712,5920,9184,63088,410.767,0,640,1392,4272,7168,10832,155648,799.87,72,100,622069,913648,1,0,0,64,200000000
20260919214214,0.5,0.5,0,0,0,./datasets/uniform,artunsync,1682925,75000000,3067598072,1,16,592,816,2032,4864,8032,579568,480.4,32,464,704,2528,10128,28400,279488,563.371,72,100,1.55752e+06,1.2614e+06,1,0,0,64,200000000
20260919214247,0.5,0.5,0,0,0,./datasets/uniform,artunsync,1582780,100000000,4019078576,1,16,592,928,2048,3792,7744,22560,475.333,32,496,768,3024,6848,29696,9.89904e+06,611.915,72,100,215120,3.89216e+08,1,0,0,64,200000000
20260919214327,0.5,0.5,0,0,0,./datasets/uniform,artunsync,1336859,125000000,6040316792,1,16,736,1120,2256,4240,8304,33088,663.903,16,608,880,3952,8608,43808,258704,711.301,72,100,260937,1.6136e+06,1,0,0,64,200000000
20260919214414,0.5,0.5,0,0,0,./datasets/uniform,artunsync,1175310,150000000,8711836800,1,16,896,1248,2464,4368,8384,62400,820.358,16,656,992,4032,17936,44240,256128,807.244,72,100,273488,2.5437e+06,1,0,0,64,200000000
20260919214503,0.5,0.5,0,0,0,./datasets/uniform,artunsync,1121109,175000000,10969379336,1,16,880,1280,2576,4432,8896,305504,728.964,16,640,1008,4000,8880,43536,166416,698.552,72,100,739223,1.81435e+06,1,0,0,64,200000000
20260919214554,0.5,0.5,0,0,0,./datasets/uniform,artunsync,1103843,200000000,12394806344,1,16,48,1296,2688,4592,8736,27632,571.847,16,560,1024,3904,7376,44368,192752,548.777,72,100,478696,1.4012e+06,1,0,0,64,200000000
20260919214740,0.5,0.5,0,0,0,./datasets/uniform,btree,1002075,75000000,0,1,144,896,1216,2336,5376,9744,51920,934.134,160,992,1360,4288,7776,13056,311648,1097.92,72,100,164238,1.68474e+06,1,0,0,64,200000000
20260919214834,0.5,0.5,0,0,0,./datasets/uniform,btree,943824,100000000,0,1,144,944,1280,2240,6032,9824,31760,993.202,192,1104,1456,3056,7888,12800,204336,1165.08,72,100,141874,621914,1,0,0,64,200000000
20260919214929,0.5,0.5,0,0,0,./datasets/uniform,btree,906531,125000000,0,1,160,992,1328,2336,5712,11184,288192,1039.36,208,1136,1504,3248,7920,12384,336384,1211.44,72,100,537903,1.17467e+06,1,0,0,64,200000000
20260919215028,0.5,0.5,0,0,0,./datasets/uniform,btree,861769,150000000,0,1,176,1072,1392,2160,5712,10560,50496,1096.65,176,1184,1568,3168,7888,12288,61328,1263.75,72,100,148126,337162,1,0,0,64,200000000
20260919215129,0.5,0.5,0,0,0,./datasets/uniform,btree,823610,175000000,0,1,144,1104,1456,2560,5952,10064,29152,1146.6,176,1232,1632,3328,8016,12832,309984,1317.09,72,100,156219,727492,1,0,0,64,200000000
20260919215234,0.5,0.5,0,0,0,./datasets/uniform,btree,774704,200000000,0,1,176,1168,1552,2768,6096,9920,7.52149e+06,1256.08,224,1312,1712,3488,7984,12480,223680,1393.53,72,100,2.24308e+08,587851,1,0,0,64,200000000
