timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260920033719,0.8,0.2,0,0,0,./datasets/uniform,alex,3838537,60000000,1535760648,1,0,240,368,592,1792,7472,49664,214.757,48,448,624,864,2736,8336,11120,468.217,5,100,42283.8,42924.4,1,0,0,64,200000000
20260920033730,0.8,0.2,0,0,0,./datasets/uniform,alex,4391397,70000000,1535760648,1,0,224,272,560,752,7824,28016,191.173,48,432,592,816,1600,7440,13696,442.724,5,100,34724.9,36915.8,1,0,0,64,200000000
20260920033744,0.8,0.2,0,0,0,./datasets/uniform,alex,3739401,80000000,2047665408,1,0,224,336,592,1904,7424,1.29982e+07,234.82,48,432,608,880,2544,8336,1.34349e+07,701.575,5,100,4.17899e+08,2.5003e+09,1,0,0,64,200000000
20260920033755,0.8,0.2,0,0,0,./datasets/uniform,alex,4407643,90000000,2047665408,1,0,192,272,560,1824,7456,40544,178.52,48,432,592,832,2112,7264,12640,446.296,5,100,41907.9,36430.5,1,0,0,64,200000000
20260920033807,0.8,0.2,0,0,0,./datasets/uniform,alex,4353738,100000000,2047665408,1,0,224,288,560,768,7440,30288,192.17,48,448,608,832,1984,8000,31312,460.763,5,100,30943.7,48254.9,1,0,0,64,200000000
20260920033821,0.8,0.2,0,0,0,./datasets/uniform,alex,3615369,110000000,2730223536,1,0,160,272,544,880,8480,128720,166.752,48,384,576,832,2752,8944,2.50573e+06,443.027,5,100,89968.2,6.21174e+07,1,0,0,64,200000000
20260920033832,0.8,0.2,0,0,0,./datasets/uniform,alex,4813275,120000000,2730223536,1,0,160,256,528,4688,8976,372656,164.059,48,368,528,912,6096,11536,135152,408.976,5,100,419233,292884,1,0,0,64,200000000
20260920033842,0.8,0.2,0,0,0,./datasets/uniform,alex,5081344,130000000,2730223536,1,0,160,256,512,864,7104,26128,163.574,48,368,528,768,2208,7952,16608,395.825,5,100,25615.1,39198.4,1,0,0,64,200000000
20260920033855,0.8,0.2,0,0,0,./datasets/uniform,alex,3785056,140000000,3640276440,1,0,160,272,528,736,7200,35200,167.593,48,384,560,800,2448,8992,1.18226e+07,530.301,5,100,32717.7,1.38312e+09,1,0,0,64,200000000
20260920033906,0.8,0.2,0,0,0,./datasets/uniform,alex,4749415,150000000,3640276440,1,0,160,256,512,1808,7408,36048,155.831,48,384,544,800,2560,8512,26544,414.865,5,100,34307.9,51826.3,1,0,0,64,200000000
20260920033917,0.8,0.2,0,0,0,./datasets/uniform,alex,4588680,160000000,3640276440,1,0,160,272,544,2064,7360,29488,167.201,32,400,560,816,3488,9424,22720,426.283,5,100,39295.8,72019.1,1,0,0,64,200000000
