timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260920060839,0.2,0.8,0,0,0,./datasets/uniform,alex,3361817,90000000,2047676152,1,0,176,256,496,608,7376,10960,170.042,32,288,416,640,976,8640,1.74519e+07,417.893,72,100,19781.8,1.2087e+09,1,0,0,64,200000000
20260920060856,0.2,0.8,0,0,0,./datasets/uniform,alex,3074873,130000000,2730231072,1,0,176,256,512,624,7552,9392,171.344,32,304,432,656,1344,7856,3.19622e+07,438.305,72,100,21991.5,2.83049e+09,1,0,0,64,200000000
20260920060912,0.2,0.8,0,0,0,./datasets/uniform,alex,3068553,170000000,3640285080,1,0,176,272,512,640,7936,26176,174.206,16,304,448,656,1472,8288,3.33976e+06,350.004,72,100,32785.2,5.21977e+07,1,0,0,64,200000000
20260920061022,0.2,0.8,0,0,0,./datasets/uniform,lipp,3661722,90000000,7685876964,1,0,64,336,1056,1456,7584,1.47193e+07,278.909,0,144,560,2448,4080,8160,431008,262.854,72,100,2.13828e+09,690184,1,0,0,64,200000000
20260920061048,0.2,0.8,0,0,0,./datasets/uniform,lipp,2732906,130000000,11747483198,1,0,32,448,1152,1552,7536,26912,146.864,0,224,704,2624,5184,8464,502384,371.296,72,100,91344,2.14002e+06,1,0,0,64,200000000
20260920061120,0.2,0.8,0,0,0,./datasets/uniform,lipp,2366723,170000000,15993822736,1,0,32,736,1232,1760,8384,47248,178.87,0,272,816,2752,5408,8560,197728,438.037,72,100,145446,487034,1,0,0,64,200000000
20260920061231,0.2,0.8,0,0,0,./datasets/uniform,artunsync,2615795,90000000,3537752556,1,16,384,560,784,1056,6624,26288,365.511,16,304,480,1664,5792,16256,87904,360.484,72,100,52045.2,211228,1,0,0,64,200000000
20260920061256,0.2,0.8,0,0,0,./datasets/uniform,artunsync,2172277,130000000,6558283088,1,16,464,688,960,1280,8576,37728,464.177,16,368,576,2640,6176,26176,169760,441.927,72,100,87260.3,582470,1,0,0,64,200000000
20260920061325,0.2,0.8,0,0,0,./datasets/uniform,artunsync,1882908,170000000,10583626764,1,16,560,784,1040,1344,7936,26096,538.799,16,400,640,2720,6976,26560,222064,465.735,72,100,81809.5,819972,1,0,0,64,200000000
20260920061447,0.2,0.8,0,0,0,./datasets/uniform,btree,1417680,90000000,0,1,160,592,800,1072,1312,8720,58192,622.736,176,688,928,2848,6144,10240,222416,739.6,72,100,86700.1,321308,1,0,0,64,200000000
20260920061526,0.2,0.8,0,0,0,./datasets/uniform,btree,1290763,130000000,0,1,176,656,896,1152,1456,8928,20816,689.769,160,752,1008,1472,6400,10736,106176,811.038,72,100,60670.7,204836,1,0,0,64,200000000
20260920061607,0.2,0.8,0,0,0,./datasets/uniform,btree,1215877,170000000,0,1,176,704,944,1200,1536,8928,45120,733.066,176,800,1072,1520,6176,10192,162736,854.798,72,100,87298.6,289757,1,0,0,64,200000000
